"SubjectTag","SurveyYear","Age","Gender","DV","ZGenderAge"
201,NA,NA,NA,NA,NA
202,NA,NA,NA,NA,NA
301,2002,21,2,115,-1.01228662589148
302,2008,24,2,135,-0.667964884782903
303,2010,24,2,149,-0.32901584317141
401,1998,17,1,153,-0.409597688483764
403,NA,NA,NA,NA,NA
801,2000,24,2,220,1.38994001071545
802,2004,24,1,225,0.933637403432579
803,2006,23,2,182,0.631334094245248
1001,2002,19,2,125,-0.662121105953954
1002,NA,NA,NA,NA,NA
1201,NA,NA,NA,NA,NA
1202,NA,NA,NA,NA,NA
1601,2010,19,1,145,-0.823455610383724
1602,2010,16,1,160,-0.127568069209731
1603,NA,NA,NA,NA,NA
1901,2010,22,2,104,-1.32907492691101
2001,2010,19,2,140,-0.206520086110746
2501,2010,19,1,180,0.146639990407675
2502,2010,16,2,130,-0.270582265957853
2701,2010,21,2,170,0.494191748317939
2702,2010,18,1,195,0.590773558697314
3001,2002,19,1,170,-0.13053018124701
3002,2010,23,1,220,0.966836626504546
3003,2010,18,1,140,-0.912785869588531
3501,NA,NA,NA,NA,NA
3502,NA,NA,NA,NA,NA
3701,NA,NA,NA,NA,NA
4301,2006,23,2,160,0.0750084538013581
4302,2010,21,2,115,-1.01228662589148
4303,NA,NA,NA,NA,NA
4304,NA,NA,NA,NA,NA
4401,2000,18,2,120,-0.736493208458117
4402,2010,24,2,120,-1.03112457222379
4601,NA,NA,NA,NA,NA
4602,NA,NA,NA,NA,NA
4901,2006,23,1,185,0.00336712211833302
4902,2010,22,1,170,-0.397550834816747
5001,2002,16,1,140,-0.660177946075682
5002,2010,22,1,208,0.653971123273549
5003,NA,NA,NA,NA,NA
5004,NA,NA,NA,NA,NA
5005,2010,17,2,165,0.774076828221539
5701,2004,24,1,155,-0.883513105278609
5702,NA,NA,NA,NA,NA
5703,NA,NA,NA,NA,NA
5801,2006,24,2,125,-0.910071343076826
5802,2008,24,2,133,-0.716386176441688
5803,2010,21,1,172,-0.204837012722527
6101,2010,16,2,110,-0.927208982693761
6102,NA,NA,NA,NA,NA
6103,NA,NA,NA,NA,NA
6201,NA,NA,NA,NA,NA
6202,NA,NA,NA,NA,NA
6203,NA,NA,NA,NA,NA
6801,2010,16,2,113,-0.828714975183375
6802,NA,NA,NA,NA,NA
6803,NA,NA,NA,NA,NA
7501,NA,NA,NA,NA,NA
7502,NA,NA,NA,NA,NA
7801,2010,20,2,115,-0.967951834806361
7802,NA,NA,NA,NA,NA
7803,NA,NA,NA,NA,NA
7804,NA,NA,NA,NA,NA
8601,2002,24,2,106,-1.37007361383528
8901,2010,24,2,150,-0.304805197342017
9101,2010,16,1,130,-0.926482884508658
9102,NA,NA,NA,NA,NA
9201,2000,17,1,150,-0.490381923848065
9202,NA,NA,NA,NA,NA
9501,2010,24,1,175,-0.364327245646841
9502,2010,22,1,162,-0.61892387862523
9503,2010,21,1,135,-1.19598149392904
9601,2004,23,2,154,-0.0767167208651573
9602,2010,23,2,138,-0.481317186642532
9603,NA,NA,NA,NA,NA
9701,2010,22,1,165,-0.535908987197049
9702,2010,20,1,170,-0.26278479393634
9801,2010,22,1,162,-0.61892387862523
9802,2010,19,1,130,-1.23921086786575
9803,NA,NA,NA,NA,NA
9901,2010,22,1,155,-0.812625291957653
9902,2010,17,1,140,-0.759662708395735
10001,2006,21,1,155,-0.660227720303896
10002,2010,18,1,140,-0.912785869588531
10003,2010,17,2,105,-1.16111524233231
10201,NA,NA,NA,NA,NA
11101,2006,24,2,175,0.300460948392792
11102,2008,24,2,170,0.17940771924583
11103,2010,23,1,160,-0.684825381014676
11201,2006,23,1,175,-0.271909879134871
11202,NA,NA,NA,NA,NA
11801,NA,NA,NA,NA,NA
11802,NA,NA,NA,NA,NA
12101,2010,17,1,165,-0.086460747026559
12401,2010,21,2,155,0.0833340098971887
12402,2010,19,1,168,-0.185964215577947
12801,2006,23,1,150,-0.96010238226788
12802,2010,24,2,128,-0.837439405588649
13301,NA,NA,NA,NA,NA
13701,2010,21,1,215,0.947033600571524
13702,2010,18,2,155,0.337204584406513
13801,2010,20,1,160,-0.527741017919507
13802,2010,18,1,200,0.727460779450572
13803,2010,16,2,130,-0.270582265957853
14001,2010,17,1,140,-0.759662708395735
14301,NA,NA,NA,NA,NA
14302,2010,22,1,215,0.847672536605972
14303,2010,19,2,145,-0.0546530794963432
14304,2008,17,1,160,-0.221101139300394
14401,2010,18,1,326,4.17197874243269
14402,2010,16,2,164,0.845683152493192
14403,NA,NA,NA,NA,NA
14701,2010,22,2,110,-1.17954978423342
14702,2010,19,1,140,-0.962040696211067
14901,2010,19,2,112,-1.0569753231514
14902,2010,16,1,150,-0.393873007642706
15301,2008,23,1,142,-1.18032398327044
15302,2010,23,2,150,-0.177866837309501
15701,2008,23,2,160,0.0750084538013581
15702,2010,22,1,150,-0.950983444337955
15801,NA,NA,NA,NA,NA
15802,NA,NA,NA,NA,NA
15901,2010,24,1,165,-0.623920175462725
15902,2010,22,1,190,0.155881774704462
15903,NA,NA,NA,NA,NA
15904,NA,NA,NA,NA,NA
15905,NA,NA,NA,NA,NA
16001,2010,18,1,130,-1.18616031109505
16101,NA,NA,NA,NA,NA
16102,NA,NA,NA,NA,NA
16501,2010,21,2,140,-0.327523728523562
16502,2010,17,2,108,-1.06435563880462
16503,NA,NA,NA,NA,NA
16701,2004,19,1,270,2.64117153529984
16702,2004,16,2,120,-0.598895624325807
17201,2010,16,2,195,1.86345456343385
17401,2010,24,1,193,0.10294002802175
17402,2010,19,1,230,1.5324908486811
17501,2006,24,1,130,-1.53249542981832
17502,2006,22,2,143,-0.357161499506696
17503,2008,22,1,135,-1.36605790147886
17504,2008,16,1,100,-1.72539769980758
17901,2006,24,2,98,-1.56375878047042
17902,2008,24,2,132,-0.74059682227108
18001,2002,23,1,250,1.79266763026416
18002,2006,24,1,200,0.284655078892869
18003,2002,17,1,150,-0.490381923848065
18301,2008,23,1,165,-0.547186880388074
18302,2006,18,1,190,0.454086337944055
18303,2010,18,2,128,-0.491076570089059
18401,NA,NA,NA,NA,NA
18601,2008,17,1,155,-0.355741531574229
18801,2008,23,2,125,-0.810055065086648
19001,NA,NA,NA,NA,NA
19201,2010,18,2,115,-0.889878607438779
19202,NA,NA,NA,NA,NA
19203,NA,NA,NA,NA,NA
19701,2010,20,1,115,-1.72004402584376
19702,2010,19,2,130,-0.510254099339551
20001,2008,24,2,100,-1.51533748881164
20002,2010,22,2,112,-1.12970807000756
20301,NA,NA,NA,NA,NA
20302,2006,16,2,120,-0.598895624325807
20401,NA,NA,NA,NA,NA
20402,2002,17,2,156,0.483798017638462
20501,NA,NA,NA,NA,NA
20502,NA,NA,NA,NA,NA
20503,2010,23,1,155,-0.822463881641278
20801,2000,24,2,129,-0.813228759759257
21101,NA,NA,NA,NA,NA
21102,NA,NA,NA,NA,NA
21103,NA,NA,NA,NA,NA
21104,NA,NA,NA,NA,NA
22101,2010,23,1,167,-0.492131480137434
22102,2010,22,1,195,0.294239927084764
22103,2010,21,2,120,-0.875334046417896
22104,2010,18,2,113,-0.951232767031043
22401,1994,19,1,167,-0.213681232743416
22402,2002,24,2,150,-0.304805197342017
22403,2002,23,1,170,-0.409548379761473
22701,2000,24,2,135,-0.667964884782903
22702,2002,24,2,122,-0.982703280565004
22703,2010,24,1,189,-0.000897143904603679
22704,NA,NA,NA,NA,NA
22801,2004,24,2,154,-0.207962614024448
22802,2010,23,1,180,-0.134271378508269
22803,2010,22,1,138,-1.28304301005068
22804,2010,20,2,110,-1.10112114196035
22901,2010,18,1,190,0.454086337944055
23101,2010,19,2,135,-0.358387092725149
23102,2010,16,2,135,-0.106425586773876
23601,2010,22,1,225,1.12438884136658
23602,2008,17,1,160,-0.221101139300394
23603,NA,NA,NA,NA,NA
23701,2004,22,2,135,-0.556528356410144
23901,2004,23,2,214,1.4405350258
23902,2006,22,1,290,2.9230448223105
23903,2006,21,1,155,-0.660227720303896
24001,2008,23,1,130,-1.51065638477429
24002,2010,23,2,120,-0.936492710642078
24201,2010,23,2,140,-0.43074212842036
24401,2000,24,2,125,-0.910071343076826
24402,2002,22,2,300,3.55541306722348
24403,2010,18,2,195,1.5642877762518
24501,2010,17,2,111,-0.967596035276924
24502,NA,NA,NA,NA,NA
24503,NA,NA,NA,NA,NA
24901,2006,24,1,260,1.84221265778817
24902,2008,23,2,150,-0.177866837309501
24903,2010,16,1,195,0.804499215305684
24904,NA,NA,NA,NA,NA
25001,2006,23,1,220,0.966836626504546
25002,2008,21,2,190,1.04200206621227
25201,2008,24,2,150,-0.304805197342017
25202,2010,17,1,175,0.182820037521111
25401,2006,24,1,175,-0.364327245646841
25402,2006,23,2,150,-0.177866837309501
25403,2008,18,1,140,-0.912785869588531
25404,2010,16,1,125,-1.05963535372515
25405,NA,NA,NA,NA,NA
25501,2002,18,2,130,-0.429722410496795
25502,2008,23,2,140,-0.43074212842036
25503,2010,23,2,140,-0.43074212842036
25504,2010,18,2,115,-0.889878607438779
25505,NA,NA,NA,NA,NA
25601,2004,23,2,240,2.09801078268823
25602,NA,NA,NA,NA,NA
25801,2004,24,2,190,0.663620635833677
25802,2006,24,2,189,0.639409990004285
25803,2006,22,1,186,0.0451952528002199
26201,2008,23,2,225,1.71869784602194
26202,NA,NA,NA,NA,NA
26501,2010,19,2,140,-0.206520086110746
26502,2010,18,2,124,-0.613784889273588
26503,2010,16,1,150,-0.393873007642706
26504,NA,NA,NA,NA,NA
27201,2008,23,1,160,-0.684825381014676
27202,2010,23,1,165,-0.547186880388074
27203,2010,20,1,180,0.00217143004682805
27204,NA,NA,NA,NA,NA
27501,2010,18,2,150,0.183819185425851
27502,2010,16,1,155,-0.260720538426219
27801,2010,23,2,200,1.08650961824479
27802,2010,18,2,130,-0.429722410496795
27803,NA,NA,NA,NA,NA
27804,NA,NA,NA,NA,NA
28201,2010,18,2,130,-0.429722410496795
28202,NA,NA,NA,NA,NA
28501,2002,24,2,120,-1.03112457222379
28502,2006,24,2,130,-0.789018113929865
28503,2010,24,1,180,-0.234530780738899
28701,2004,23,2,158,0.0244333955791863
28702,2010,18,1,180,0.180711896437538
28801,2004,24,1,230,1.06343386834052
28802,2010,23,1,190,0.141005622744935
28803,2010,16,2,115,-0.763052303509784
28804,NA,NA,NA,NA,NA
28805,NA,NA,NA,NA,NA
28806,NA,NA,NA,NA,NA
28901,2006,24,1,215,0.674044473616695
28902,2010,24,2,201,0.929937739956993
29001,2002,22,2,155,-0.0581112141515236
29002,2006,23,1,285,2.75613713465037
29201,2010,20,1,165,-0.395262905927923
29202,2010,18,1,175,0.0440246756842791
29301,2010,24,2,135,-0.667964884782903
29302,2006,18,1,160,-0.366036986575497
29401,2008,24,1,280,2.36139851741994
29402,NA,NA,NA,NA,NA
29403,NA,NA,NA,NA,NA
29701,2002,23,1,140,-1.23537938352108
29702,2010,16,2,130,-0.270582265957853
29801,2010,21,1,140,-1.06204305052275
29802,NA,NA,NA,NA,NA
30501,NA,NA,NA,NA,NA
30502,NA,NA,NA,NA,NA
31201,2006,23,1,220,0.966836626504546
31202,2010,24,1,160,-0.753716640370667
31401,2006,24,1,320,3.39977023668348
31402,2008,24,2,160,-0.0626987390480938
31403,NA,NA,NA,NA,NA
31404,2010,24,2,167,0.106775781757653
31405,2010,21,2,153,0.0285529781077553
32101,2006,16,1,160,-0.127568069209731
32102,NA,NA,NA,NA,NA
32103,NA,NA,NA,NA,NA
32201,2010,22,1,235,1.40110514612718
32202,2010,20,2,175,0.630079851041504
32203,2010,18,2,180,1.10413157930982
33301,2004,23,2,145,-0.30430448286493
33302,2010,21,1,220,1.08097204397781
33501,2010,20,2,140,-0.302105299036417
33801,2004,23,2,198,1.03593456002262
33802,NA,NA,NA,NA,NA
33901,2004,23,2,107,-1.26523058908619
34001,2002,20,1,170,-0.26278479393634
34002,2006,23,2,122,-0.885917652419906
34003,2010,21,2,190,1.04200206621227
34301,2002,24,2,150,-0.304805197342017
34401,2008,18,1,195,0.590773558697314
34402,2010,18,2,110,-1.04326400641944
34501,NA,NA,NA,NA,NA
34701,NA,NA,NA,NA,NA
34702,NA,NA,NA,NA,NA
35401,2010,20,1,125,-1.45508780186059
35402,NA,NA,NA,NA,NA
36501,NA,NA,NA,NA,NA
36502,NA,NA,NA,NA,NA
36503,NA,NA,NA,NA,NA
36504,NA,NA,NA,NA,NA
36505,NA,NA,NA,NA,NA
36901,2010,18,2,155,0.337204584406513
36902,NA,NA,NA,NA,NA
37101,NA,NA,NA,NA,NA
37102,NA,NA,NA,NA,NA
37103,NA,NA,NA,NA,NA
37301,2006,24,1,145,-1.14310603509449
37302,2006,22,2,115,-1.05494549866876
37401,2002,21,2,160,0.220286589370772
37402,2006,23,2,140,-0.43074212842036
37403,2006,22,1,180,-0.120834530056143
37901,2008,24,2,126,-0.885860697247434
37902,2010,24,1,157,-0.831594519315432
37903,2010,23,2,170,0.327883744912217
38201,1994,18,2,141,-0.0922745327393394
38202,2006,23,2,147,-0.253729424642759
38501,2010,23,1,100,-2.3364873885339
38502,2010,22,2,150,-0.182715499716179
38503,NA,NA,NA,NA,NA
38801,2010,22,2,164,0.166176499864856
38802,2010,19,1,210,0.978150505371732
38803,NA,NA,NA,NA,NA
38901,2004,20,2,155,0.0974026224255488
38902,NA,NA,NA,NA,NA
39001,2002,22,1,185,0.0175236223241595
39002,2010,20,2,134,-0.461908467621204
39003,2010,18,2,145,0.0304337864451897
39004,NA,NA,NA,NA,NA
39101,2006,23,2,150,-0.177866837309501
39102,2010,24,2,125,-0.910071343076826
39103,2010,17,2,130,-0.354785212934872
39501,2008,23,2,180,0.580759036023076
39502,2010,23,2,230,1.84513549157737
39701,2000,24,2,106,-1.37007361383528
39702,2006,23,1,170,-0.409548379761473
39703,2010,18,1,265,2.50439464924293
39704,NA,NA,NA,NA,NA
39901,2008,23,2,125,-0.810055065086648
40001,2010,19,2,140,-0.206520086110746
40101,2000,18,1,136,-1.02213564619114
40102,2010,21,2,183,0.850268454949256
40201,2002,21,1,165,-0.392350833491326
40202,2010,24,2,135,-0.667964884782903
40203,2010,17,1,160,-0.221101139300394
40501,2010,18,1,110,-1.73290919410808
40502,2010,17,1,175,0.182820037521111
40503,NA,NA,NA,NA,NA
40701,NA,NA,NA,NA,NA
40702,NA,NA,NA,NA,NA
41401,2010,23,2,120,-0.936492710642078
41402,2010,20,2,140,-0.302105299036417
41601,2008,23,1,195,0.278644123371537
41602,2010,23,2,140,-0.43074212842036
41603,2010,20,1,285,2.78421178187009
41604,2010,17,2,125,-0.516051218814359
41801,2010,21,1,175,-0.124473946678756
42301,NA,NA,NA,NA,NA
42302,NA,NA,NA,NA,NA
42501,2000,24,2,115,-1.15217780137075
42502,2002,23,1,170,-0.409548379761473
42503,2006,24,1,165,-0.623920175462725
42504,2010,18,1,185,0.317399117190796
42505,NA,NA,NA,NA,NA
42701,NA,NA,NA,NA,NA
42801,NA,NA,NA,NA,NA
42802,2008,23,1,170,-0.409548379761473
43101,2010,22,1,176,-0.231521051960384
43102,2010,20,1,170,-0.26278479393634
43103,2010,19,2,125,-0.662121105953954
43701,2004,23,1,175,-0.271909879134871
43702,2008,24,1,165,-0.623920175462725
43703,2010,23,1,130,-1.51065638477429
43801,2010,22,2,100,-1.42875835536273
43901,NA,NA,NA,NA,NA
43902,NA,NA,NA,NA,NA
44201,2000,24,2,200,0.905727094127601
44202,2002,22,1,180,-0.120834530056143
44203,2006,23,1,190,0.141005622744935
44401,2010,19,2,165,0.552814946961268
44402,2010,16,2,135,-0.106425586773876
44601,2004,23,2,90,-1.69511858397466
44602,2008,24,1,145,-1.14310603509449
44901,NA,NA,NA,NA,NA
