"SubjectTag","SurveyYear","Age","Gender","DV","ZGenderAge"
100,1981,22,2,65,0.272615036319898
200,1982,23,2,62,-0.839068698652887
300,1985,23,2,70,2.13411093300723
400,1985,22,2,67,1.02426966321014
500,1982,22,1,63,-2.34873338013195
600,1985,24,1,65,-1.74222768170812
700,1985,20,1,69,-0.297516921441484
800,1982,23,2,65,0.275873663219656
900,1985,21,1,65,-1.61309044322913
1000,1985,24,2,66,0.623418850004854
1100,1982,22,1,71,0.322621925570974
1200,1982,22,2,66,0.648442349765021
1300,1982,23,1,71,0.274432320973596
1400,1985,21,2,67,1.03389068083996
1500,1985,21,1,74,1.35019956672158
1600,1982,23,2,63,-0.467421244695372
1700,1981,24,1,69,-0.384317940835132
1800,1982,23,1,68,-0.731770551803795
1900,1982,24,2,64,-0.124503980858937
2000,1982,22,2,61,-1.23069421746059
2100,1985,23,2,62,-0.839068698652887
2200,1985,22,2,64,-0.103212277125225
2300,1982,23,1,73,0.945234236158523
2400,1985,24,1,72,0.634114364819605
2500,1982,22,2,66,0.648442349765021
2600,1985,22,1,67,-1.01305572728049
2700,1985,24,2,63,-0.498465396290832
2800,1985,21,2,65,0.280500442729841
2900,1985,24,2,66,0.623418850004854
3000,1982,23,2,64,-0.0957737907378582
3100,1985,21,1,69,-0.296072661028812
3200,1982,24,2,61,-1.24638822715462
3300,NA,NA,NA,NA,NA
3400,1982,23,1,69,-0.396369594211331
3500,1985,21,2,62,-0.849584914435335
3600,1985,22,1,70,-0.0112974876418913
3700,1982,23,2,67,1.01916857113468
3800,1985,22,2,63,-0.479039590570348
3900,1982,23,1,71,0.274432320973596
4000,1982,22,1,66,-1.34697514049335
4100,1985,23,1,73,0.945234236158523
4200,1985,21,1,72,0.691690675621424
4300,1985,23,2,64,-0.0957737907378582
4400,1985,23,2,64,-0.0957737907378582
4500,1982,22,1,70,-0.0112974876418913
4600,1985,22,2,62,-0.854866904015471
4700,1982,23,1,73,0.945234236158523
4800,1982,23,1,72,0.60983327856606
4900,1981,23,2,69,1.76246347904971
5000,1982,23,2,64,-0.0957737907378582
5100,NA,NA,NA,NA,NA
5200,1982,23,1,72,0.60983327856606
5300,1985,21,1,68,-0.625327106578891
5400,1982,23,1,73,0.945234236158523
5500,NA,NA,NA,NA,NA
5600,1982,17,2,65,0.324000376161959
5700,1982,23,2,67,1.01916857113468
5800,1981,24,2,62,-0.872426811722727
5900,1982,22,1,69,-0.345216900854757
6000,1985,23,1,69,-0.396369594211331
6100,1985,22,2,66,0.648442349765021
6200,1985,20,2,70,2.12476948867378
6300,1981,21,1,70,0.0331817845212667
6400,1985,23,1,72,0.60983327856606
6500,1985,21,2,66,0.657195561784899
6600,1985,21,1,67,-0.954581552128969
6700,1982,24,1,73,0.973591800037851
6800,1985,22,2,70,2.15175160354551
6900,1985,20,1,75,1.63311432420684
7000,1985,23,1,69,-0.396369594211331
7100,1985,21,1,70,0.0331817845212667
7200,1982,22,2,65,0.272615036319898
7300,1985,21,1,70,0.0331817845212667
7400,1982,22,2,66,0.648442349765021
7500,1985,22,2,65,0.272615036319898
7600,1985,21,1,73,1.0209451211715
7700,1985,20,2,63,-0.460310541438408
7800,1982,24,2,64,-0.124503980858937
7900,1985,24,1,72,0.634114364819605
8000,1985,21,1,68,-0.625327106578891
8100,1985,20,1,71,0.346026827107957
8200,1981,22,1,71,0.322621925570974
8300,1985,24,1,73,0.973591800037851
8400,1985,21,1,68,-0.625327106578891
8500,1982,22,1,66,-1.34697514049335
8600,1985,24,2,59,-1.99431105801841
8700,1985,21,1,68,-0.625327106578891
8800,1982,24,1,72,0.634114364819605
