"C0000100","C0000200","C0005300","C0005400","C0005700","C0579900","C0580000","C0580100","C0799400","C0799500","C0799600","C0998600","C0998700","C0998800","C1198600","C1198700","C1198800","C1507600","C1507700","C1507800","C1564500","C1564600","C1564700","C1799900","C1800000","C1800100","C2503500","C2503600","C2503700","C2532000","C2532100","C2532200","C2802800","C2802900","C2803000","C3111300","C3111400","C3111500","C3615000","C3615100","C3615200","C3993600","C3993700","C3993800"
2701,27,3,2,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,71,108,48,93,122,45,54,102,65,89,118,75,95,125,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
2702,27,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,57,103,56,99,135,58,92,121,61,73,109,80,99,135,-7,-7,-7,-7,-7,-7
3001,30,3,1,1982,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
3002,30,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
3003,30,3,1,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7
3501,35,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,29,47,99,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
3502,35,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,66,106,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
3701,37,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,37,95,44,84,115,-7,-7,-7,65,89,118,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4301,43,3,2,1982,-7,-7,-7,11,26,90,33,57,103,35,21,88,46,41,97,53,42,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4302,43,3,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,7,6,77,10,1,65,41,44,98,43,24,89,49,35,94,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4303,43,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,8,8,79,26,50,100,41,44,98,58,84,115,55,51,100
4304,43,3,2,2000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,16,85,16,11,82,22,3,72
4401,44,3,2,1981,-7,-7,-7,24,56,102,36,38,95,54,79,112,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4402,44,3,2,1985,-7,-7,-7,-7,-7,-7,14,72,109,23,52,101,-7,-7,-7,50,64,105,52,49,100,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4601,46,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,33,93,52,79,112,-3,-3,-3,-3,-3,-3,-7,-7,-7
4602,46,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,37,87,117,-3,-3,-3,-3,-3,-3,-7,-7,-7
4901,49,3,1,1982,-7,-7,-7,19,82,114,42,85,116,45,67,107,60,83,114,73,96,126,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
4902,49,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,16,24,89,34,28,91,49,60,104,51,44,98,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5001,50,3,1,1985,-7,-7,-7,-7,-7,-7,13,64,105,26,64,105,40,51,100,51,72,109,63,76,111,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5002,50,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,73,109,36,71,108,46,67,107,54,64,105,66,80,113,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5003,50,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5004,50,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5005,50,3,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,57,103,35,69,107,50,85,116,60,83,114,59,58,103,-7,-7,-7,-7,-7,-7
5701,57,3,1,1979,42,98,131,62,99,135,61,89,118,80,99,135,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5702,57,3,1,1995,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7
5703,57,3,2,1998,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,63,82,114
5801,58,3,2,1981,-7,-7,-7,27,67,107,40,51,100,65,95,125,65,83,114,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5802,58,3,2,1984,-7,-7,-7,-7,-7,-7,26,78,112,44,84,115,51,77,111,57,69,107,74,93,122,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5803,58,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,17,86,29,60,104,49,78,112,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
6101,61,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,16,85,116,28,63,105,59,98,131,54,69,107,64,77,111,-7,-7,-7,-7,-7,-7
6102,61,3,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,16,59,103,43,88,118,55,89,118,67,95,125,81,99,135,-7,-7,-7
6103,61,3,1,2003,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,83,114
6201,62,3,1,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,19,87,35,69,107,58,96,126,57,75,110,73,94,123
6202,62,3,2,1998,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,23,89,118,41,86,116,61,98,131,57,77,111
6203,62,3,2,2001,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,87,117,48,90,119
6801,68,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,68,107,54,97,128,62,93,122,66,88,118,-7,-7,-7,-7,-7,-7
6802,68,3,1,1995,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,74,110,55,97,128,66,97,128,68,93,122,-7,-7,-7
6803,68,3,2,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,92,121,38,80,113,57,96,126,70,98,131,77,99,135
7501,75,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7
7502,75,3,2,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
7801,78,3,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,72,109,-3,-3,-3,53,94,123,64,94,123,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
7802,78,3,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,65,106,31,45,98,-7,-7,-7,53,55,102,50,33,93,-7,-7,-7,-7,-7,-7
7803,78,3,1,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,34,60,104,55,91,120,-7,-7,-7,-7,-7,-7
7804,78,3,2,2000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,88,118,-7,-7,-7,-7,-7,-7
8601,86,2,2,1977,40,70,108,47,52,101,45,26,90,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
8901,89,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,39,96,24,23,89,43,47,99,48,42,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9101,91,3,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,66,91,120,-3,-3,-3,-7,-7,-7
9102,91,3,1,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,39,35,94,-3,-3,-3,49,35,94
9201,92,3,1,1982,-7,-7,-7,23,89,118,30,57,103,43,54,102,46,39,96,52,43,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9202,92,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,16,85,42,77,111,54,85,116,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7
9501,95,3,1,1985,-7,-7,-7,-7,-7,-7,-7,-7,-7,22,57,103,38,51,100,65,97,128,63,80,113,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9502,95,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,53,101,23,52,101,24,10,81,42,24,89,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9503,95,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,66,106,25,46,98,54,92,121,-7,-7,-7,50,38,95,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9601,96,3,2,1980,25,99,135,42,85,116,-3,-3,-3,55,69,107,55,46,98,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9602,96,3,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,93,122,-3,-3,-3,43,54,102,49,53,101,53,45,98,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9603,96,3,1,1998,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,37,95,35,62,105,59,95,125,63,84,115
9701,97,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,91,120,29,73,109,27,17,86,57,84,115,69,92,121,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9702,97,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,66,106,24,56,102,39,47,99,62,91,120,60,67,107,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9801,98,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,31,84,115,53,97,128,63,94,123,66,87,117,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9802,98,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,93,122,45,93,122,65,98,131,72,98,131,78,99,135,-7,-7,-7,-7,-7,-7,-7,-7,-7
9803,98,3,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,18,69,107,47,95,125,61,98,131,75,99,135,82,99,135,-7,-7,-7
9901,99,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,25,60,104,45,75,110,56,84,115,60,67,107,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
9902,99,3,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,64,105,35,74,110,52,91,120,64,93,122,64,77,111,-7,-7,-7,-7,-7,-7
10001,100,3,1,1985,-7,-7,-7,-7,-7,-7,10,26,90,24,56,102,48,84,115,53,74,110,58,62,105,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
10002,100,3,1,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,7,12,82,18,38,95,-3,-3,-3,-3,-3,-3,53,51,100,-7,-7,-7,-7,-7,-7,-7,-7,-7
10003,100,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,7,6,77,-3,-3,-3,-3,-3,-3,44,33,93,47,30,92,-7,-7,-7,-7,-7,-7
10201,102,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7
11101,111,3,2,1982,-7,-7,-7,15,46,98,45,88,118,46,58,103,49,45,98,48,27,91,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
11102,111,3,2,1983,-7,-7,-7,14,72,109,24,56,102,40,58,103,45,43,97,61,71,108,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
11103,111,3,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,39,96,25,52,101,38,38,95,49,57,103,48,31,93,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
11201,112,3,1,1982,-7,-7,-7,28,95,125,47,93,122,55,91,120,61,79,112,50,35,94,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
11202,112,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,74,110,38,92,121,48,88,118,54,79,112,70,95,125
11801,118,3,1,1981,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
11802,118,3,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
12101,121,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,23,95,125,40,84,115,62,98,131,62,84,115,70,90,119,-7,-7,-7,-7,-7,-7
12401,124,3,2,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,86,116,34,60,104,50,81,113,64,88,118,68,84,115,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
12402,124,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,16,45,98,47,91,120,44,43,97,61,73,109,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
12801,128,3,1,1982,-7,-7,-7,16,80,113,42,85,116,48,75,110,59,82,114,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
12802,128,3,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,39,96,35,56,102,-7,-7,-7,46,33,93,52,36,95,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
13301,133,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,17,85,116,44,90,119,60,98,131,-7,-7,-7,66,82,114,-7,-7,-7,-7,-7,-7
13701,137,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,80,113,52,98,131,60,96,126,64,88,118,69,87,117,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
13702,137,3,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,8,23,89,36,86,116,54,95,125,64,94,123,63,76,111,-7,-7,-7,-7,-7,-7,-7,-7,-7
13801,138,3,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,72,109,47,97,128,66,99,135,65,95,125,63,73,109,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
13802,138,3,1,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,37,91,120,56,98,131,55,82,114,65,85,116,-7,-7,-7,-7,-7,-7,-7,-7,-7
13803,138,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,46,99,135,58,99,135,60,91,120,66,87,117,-7,-7,-7,-7,-7,-7
14001,140,3,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,44,98,-3,-3,-3,54,92,121,59,82,114,69,90,119,-7,-7,-7,-7,-7,-7
14301,143,3,1,1985,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,76,111,51,91,120,61,92,121,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
14302,143,3,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,39,96,32,48,99,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
14303,143,3,2,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,86,116,-3,-3,-3,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7
14304,143,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,47,99,-3,-3,-3,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7
14401,144,3,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,22,87,117,39,78,112,-3,-3,-3,59,79,112,68,82,114,-7,-7,-7,-7,-7,-7
