"","Subject2Tag","Subject1Tag","R","CRace1","CGender1","HtSt1","AgeHt1","CRace2","CGender2","HtSt2","AgeHt2"
"1",202,201,0.5,3,2,NA,11,3,2,NA,10
"2",302,301,0.5,3,2,0.49858852,19,3,2,1.8428552225,19
"3",303,301,0.5,3,2,0.49858852,19,3,2,0.8346551956,19
"4",303,302,0.5,3,2,1.8428552225,19,3,2,0.8346551956,19
"5",403,401,0.25,3,1,NA,17,3,2,NA,NA
"6",802,801,0.5,3,2,1.1707218712,19,3,1,1.1957459322,19
"7",803,801,0.5,3,2,1.1707218712,19,3,2,0.49858852,19
"8",803,802,0.5,3,1,1.1957459322,19,3,2,0.49858852,19
"9",1002,1001,0.5,3,2,0.49858852,19,3,2,NA,6
"10",1202,1201,0.5,3,1,NA,5,3,1,NA,1
"11",1602,1601,0.5,3,1,NA,18,3,1,NA,15
"12",1603,1601,0.5,3,1,NA,18,3,2,NA,NA
"13",1603,1602,0.5,3,1,NA,15,3,2,NA,NA
"14",2502,2501,0.5,3,1,NA,17,3,2,NA,14
"15",2702,2701,0.5,3,2,0.49858852,19,3,1,NA,16
"16",3002,3001,0.5,3,1,-0.764653989,19,3,1,NA,15
"17",3003,3001,0.5,3,1,-0.764653989,19,3,1,NA,16
"18",3003,3002,0.5,3,1,NA,15,3,1,NA,16
"19",3502,3501,0.5,3,2,NA,8,3,2,NA,5
"20",4302,4301,0.25,3,2,-0.509611507,19,3,2,-0.845678183,19
"21",4303,4301,0.25,3,2,-0.509611507,19,3,2,NA,NA
"22",4303,4302,0.25,3,2,-0.845678183,19,3,2,NA,NA
"23",4304,4301,0.25,3,2,-0.509611507,19,3,2,NA,6
"24",4304,4302,0.25,3,2,-0.845678183,19,3,2,NA,6
"25",4304,4303,0.5,3,2,NA,NA,3,2,NA,6
"26",4402,4401,0.5,3,2,NA,19,3,2,-0.173544831,19
"27",4602,4601,0.5,3,2,NA,13,3,2,NA,9
"28",4902,4901,0.5,3,1,0.5422792916,19,3,1,-0.437920669,19
"29",5002,5001,0.25,3,1,NA,16,3,1,NA,18
"30",5003,5001,0.25,3,1,NA,16,3,1,NA,NA
"31",5003,5002,0.5,3,1,NA,18,3,1,NA,NA
"32",5004,5001,0.25,3,1,NA,16,3,1,NA,NA
