"","Subject2Tag","Subject1Tag","R","CRace1","CGender1","HtSt1","AgeHt1","CRace2","CGender2","HtSt2","AgeHt2"
"93",14304,14303,0.5,3,2,NA,17,3,1,NA,17
"94",14402,14401,0.5,3,1,NA,15,3,2,NA,12
"95",14403,14401,0.5,3,1,NA,15,3,2,NA,9
"96",14403,14402,0.5,3,2,NA,12,3,2,NA,9
"97",14702,14701,0.5,3,2,-1.517811534,19,3,1,NA,17
"98",14902,14901,0.5,3,2,NA,16,3,1,NA,14
"99",15302,15301,0.5,3,1,0.2155459714,19,3,2,-0.845678183,19
"100",15702,15701,0.5,3,2,-1.181744858,19,3,1,-1.41812063,19
"101",15802,15801,0.5,3,2,NA,13,3,1,NA,14
"102",15902,15901,0.5,3,1,NA,15,3,1,-0.437920669,19
"103",15903,15901,0.5,3,1,NA,15,3,1,NA,8
"104",15903,15902,0.5,3,1,-0.437920669,19,3,1,NA,8
"105",15904,15901,0.5,3,1,NA,15,3,2,NA,5
"106",15904,15903,0.5,3,1,NA,8,3,2,NA,5
"107",15904,15902,0.5,3,1,-0.437920669,19,3,2,NA,5
"108",15905,15902,0.5,3,1,-0.437920669,19,3,2,NA,5
"109",15905,15901,0.5,3,1,NA,15,3,2,NA,5
"110",15905,15903,0.5,3,1,NA,8,3,2,NA,5
"111",15905,15904,0.5,3,2,NA,5,3,2,NA,5
"112",16102,16101,0.5,3,1,NA,NA,3,2,NA,NA
"113",16502,16501,0.5,3,2,1.1707218712,19,3,2,NA,15
"114",16503,16501,0.5,3,2,1.1707218712,19,3,1,NA,8
"115",16503,16502,0.5,3,2,NA,15,3,1,NA,8
"116",16702,16701,0.5,3,1,1.5224792524,19,3,2,NA,16
"117",17402,17401,0.5,1,1,-0.764653989,19,1,1,NA,18
"118",17502,17501,0.5,3,1,0.2155459714,19,3,2,0.49858852,19
"119",17503,17501,0.5,3,1,0.2155459714,19,3,1,-1.09138731,19
"120",17503,17502,0.5,3,2,0.49858852,19,3,1,-1.09138731,19
"121",17504,17501,0.5,3,1,0.2155459714,19,3,1,NA,14
"122",17504,17502,0.5,3,2,0.49858852,19,3,1,NA,14
"123",17504,17503,0.5,3,1,-1.09138731,19,3,1,NA,14
"124",17902,17901,0.5,3,2,-1.517811534,19,3,2,-0.173544831,19
"125",18002,18001,0.5,3,1,0.5422792916,19,3,1,-0.111187349,19
"126",18003,18001,0.5,3,1,0.5422792916,19,3,1,NA,17
"127",18003,18002,0.5,3,1,-0.111187349,19,3,1,NA,17
"128",18302,18301,0.5,3,1,0.2155459714,19,3,1,NA,18
"129",18303,18301,0.5,3,1,0.2155459714,19,3,2,NA,17
"130",18303,18302,0.5,3,1,NA,18,3,2,NA,17
"131",19202,19201,0.5,3,2,NA,17,3,1,NA,NA
"132",19203,19201,0.5,3,2,NA,17,3,2,NA,NA
"133",19203,19202,0.5,3,1,NA,NA,3,2,NA,NA
"134",19702,19701,0.5,3,1,NA,18,3,2,NA,17
"135",20002,20001,0.5,3,2,-0.845678183,19,3,2,-0.173544831,19
"136",20302,20301,0.25,1,2,NA,NA,1,2,NA,16
"137",20402,20401,0.25,1,1,NA,13,1,2,NA,17
"138",20502,20501,0.5,1,2,NA,19,1,1,0.2155459714,19
"139",20503,20501,0.5,1,2,NA,19,1,1,0.2155459714,19
"140",20503,20502,0.5,1,1,0.2155459714,19,1,1,0.2155459714,19
"141",21102,21101,0.5,3,2,NA,NA,3,1,NA,NA
"142",21103,21101,0.5,3,2,NA,NA,3,2,NA,NA
"143",21103,21102,0.5,3,1,NA,NA,3,2,NA,NA
"144",21104,21101,0.5,3,2,NA,NA,3,1,NA,NA
"145",21104,21102,0.5,3,1,NA,NA,3,1,NA,NA
"146",21104,21103,0.5,3,2,NA,NA,3,1,NA,NA
"147",22102,22101,0.5,2,1,-0.437920669,19,2,1,0.8690126119,19
"148",22103,22101,0.25,2,1,-0.437920669,19,2,2,-1.517811534,19
"149",22103,22102,0.25,2,1,0.8690126119,19,2,2,-1.517811534,19
"150",22104,22101,0.25,2,1,-0.437920669,19,2,2,NA,16
"151",22104,22102,0.25,2,1,0.8690126119,19,2,2,NA,16
"152",22104,22103,0.5,2,2,-1.517811534,19,2,2,NA,16
"153",22402,22401,0.25,2,1,-1.09138731,19,2,2,0.49858852,19
"154",22403,22401,0.25,2,1,-1.09138731,19,2,1,0.2155459714,19
"155",22403,22402,0.5,2,2,0.49858852,19,2,1,0.2155459714,19
"156",22702,22701,0.25,2,2,-0.509611507,19,2,2,0.1625218443,19
"157",22703,22701,0.25,2,2,-0.509611507,19,2,1,-1.09138731,19
"158",22703,22702,0.25,2,2,0.1625218443,19,2,1,-1.09138731,19
"159",22704,22701,0.25,2,2,-0.509611507,19,2,1,NA,NA
"160",22704,22702,0.25,2,2,0.1625218443,19,2,1,NA,NA
"161",22704,22703,0.25,2,1,-1.09138731,19,2,1,NA,NA
"162",22802,22801,0.25,1,2,0.49858852,19,1,1,0.8690126119,19
"163",22803,22801,0.25,1,2,0.49858852,19,1,1,0.8690126119,19
"164",22803,22802,0.5,1,1,0.8690126119,19,1,1,0.8690126119,19
"165",22804,22801,0.25,1,2,0.49858852,19,1,2,NA,18
"166",22804,22802,0.5,1,1,0.8690126119,19,1,2,NA,18
"167",22804,22803,0.5,1,1,0.8690126119,19,1,2,NA,18
"168",23102,23101,0.5,3,2,NA,17,3,2,NA,14
"169",23602,23601,0.5,3,1,NA,18,3,1,NA,17
"170",23603,23601,0.5,3,1,NA,18,3,1,NA,NA
"171",23603,23602,0.5,3,1,NA,17,3,1,NA,NA
"172",23902,23901,0.25,3,2,0.8346551956,19,3,1,-2.07158727,19
"173",23903,23901,0.25,3,2,0.8346551956,19,3,1,-0.111187349,19
"174",23903,23902,0.25,3,1,-2.07158727,19,3,1,-0.111187349,19
"175",24002,24001,0.5,3,1,-1.74485395,19,3,2,-1.517811534,19
"176",24402,24401,0.5,3,2,-1.517811534,19,3,2,0.49858852,19
"177",24403,24401,0.25,3,2,-1.517811534,19,3,2,NA,16
"178",24403,24402,0.25,3,2,0.49858852,19,3,2,NA,16
"179",24502,24501,0.5,3,2,NA,16,3,2,NA,NA
"180",24503,24501,0.5,3,2,NA,16,3,1,NA,NA
"181",24503,24502,0.5,3,2,NA,NA,3,1,NA,NA
"182",24902,24901,0.5,3,1,1.5224792524,19,3,2,-0.173544831,19
"183",24903,24901,0.25,3,1,1.5224792524,19,3,1,NA,14
"184",24903,24902,0.25,3,2,-0.173544831,19,3,1,NA,14
"185",24904,24901,0.25,3,1,1.5224792524,19,3,1,NA,NA
"186",24904,24902,0.25,3,2,-0.173544831,19,3,1,NA,NA
"187",24904,24903,0.5,3,1,NA,14,3,1,NA,NA
"188",25002,25001,0.5,3,1,-0.764653989,19,3,2,-1.181744858,19
"189",25202,25201,0.25,3,2,0.1625218443,19,3,1,NA,16
