"SubjectTag","SurveyYear","Age","Gender","Value","DV","ZGenderAge"
100,NA,NA,NA,NA,NA,NA
200,1981,22,2,0.06841,-1.48773800764771,-1.30559013509827
300,NA,NA,NA,NA,NA,NA
400,1981,18,2,0.55761,0.144912445592477,0.50983316211342
500,1981,21,1,0.96772,1.84829277754397,1.97396749992015
600,1981,20,1,0.99393,2.508048508487,2.70290461366221
700,1981,16,1,0.47412,-0.0649171068839766,0.297407499256431
800,1981,22,2,0.44022,-0.150411460450293,0.0747620443296965
900,1981,17,1,0.59683,0.245150373798307,0.513937991571513
1000,1981,20,2,0.30039,-0.523279161808358,-0.212845322931817
1100,1981,21,1,0.85347,1.05143249066187,1.19520718432367
1200,1981,21,2,0.89641,1.26135770341869,1.52967547704554
1300,1981,22,1,0.72313,0.592165155489573,0.723645185959037
1400,1981,17,2,0.98798,2.25648937459115,2.66626361296828
1500,1981,16,1,0.8226,0.925318996931464,1.27408748972718
1600,1981,22,2,0.50283,0.00709381751289604,0.237334719016756
1700,1981,24,1,0.89669,1.26291424497049,1.20291943965099
1800,1981,22,1,0.95977,1.74802325893439,1.86933762481844
1900,NA,NA,NA,NA,NA,NA
2000,1981,21,2,0.67021,0.440493111952288,0.691294327506789
2100,1981,19,2,0.88416,1.19604243437431,1.4876116887471
2200,1981,18,2,0.89167,1.23545826445413,1.66780661492381
2300,1981,22,1,0.83214,0.962656367508713,1.09087796220478
2400,1981,20,1,0.66029,0.413254721137732,0.7069329235503
2500,1981,21,2,0.5139,0.0348491855895291,0.276994301871755
2600,1981,18,1,0.97075,1.89193231162931,2.02200714761278
2700,1981,20,2,0.96674,1.83490342578358,2.22327923103007
2800,1981,17,2,0.92784,1.45989112049428,1.83318611591036
2900,1981,20,2,0.25905,-0.646276969723619,-0.339908418691434
3000,1981,22,2,0.08528,-1.37040664161552,-1.18448388236051
3100,NA,NA,NA,NA,NA,NA
3200,NA,NA,NA,NA,NA,NA
3300,NA,NA,NA,NA,NA,NA
3400,1981,22,1,0.06069,-1.54900715538781,-1.39869571346128
3500,1981,17,2,0.53046,0.0764262326479536,0.386367145234622
3600,NA,NA,NA,NA,NA,NA
3700,1981,22,2,0.5629,0.158325900358591,0.393432371899638
3800,1981,18,2,0.12788,-1.13646979472295,-0.850775985640508
3900,1981,22,1,0.26851,-0.617325576614775,-0.475208187575865
4000,1981,21,1,0.38419,-0.294494585792311,-0.120148358026747
4100,1981,18,1,0.57095,0.178793308074728,0.44202361385293
4200,1981,17,1,0.22326,-0.761229501796528,-0.438574554288004
4300,1981,19,2,0.15325,-1.0225936779245,-0.744489912587207
4400,1981,19,2,0.37061,-0.330238180082947,-0.0479323262133502
4500,1981,21,1,0.50629,0.0157673451408387,0.183066249638628
4600,1981,18,2,0.78095,0.775405645891941,1.17930928635948
4700,1981,22,1,0.75473,0.689450203133964,0.820074620651819
4800,NA,NA,NA,NA,NA,NA
4900,1981,23,2,0.71226,0.559999175621229,0.761395459426474
5000,1981,22,2,0.78742,0.797501210669856,1.05317178593705
5100,NA,NA,NA,NA,NA,NA
5200,1981,22,1,0.6908,0.498119240435346,0.630426395986358
5300,1981,17,1,0.43641,-0.160077531736452,0.130400250690028
5400,NA,NA,NA,NA,NA,NA
5500,NA,NA,NA,NA,NA,NA
5600,1981,16,2,0.7602,0.706946058232306,0.914125544902555
5700,1981,22,2,0.3083,-0.500674814592233,-0.286770286929859
5800,1981,24,2,0.91625,1.38028146354001,1.60583959982955
5900,1981,21,1,0.98841,2.27045484596446,2.3865405331709
6000,1981,19,1,0.8298,0.953375204337493,1.20949976380339
6100,1981,18,2,0.9915,2.38670773449225,2.89023698035103
6200,1981,16,2,0.36384,-0.348213300180569,-0.170027336154736
6300,1981,21,1,0.87934,1.17169383270156,1.31273689715116
6400,1981,19,1,0.92989,1.4749722654221,1.69570945613738
6500,1981,17,2,0.75171,0.679880704798897,1.01745607702982
6600,1981,17,1,0.22649,-0.750456189982864,-0.428377893055181
6700,1981,23,1,0.93246,1.49436593552418,1.54667751477736
6800,NA,NA,NA,NA,NA,NA
6900,1981,16,1,0.86703,1.11246097587457,1.45866753635098
7000,NA,NA,NA,NA,NA,NA
7100,1981,17,1,0.98077,2.06991825644528,2.24103363771151
7200,1981,21,2,0.80538,0.860996446866616,1.1207708489396
7300,1981,17,1,0.81527,0.897485326177558,1.13135616666831
7400,1981,21,2,0.95536,1.69920799773937,1.97686912736816
7500,1981,18,2,0.83379,0.969250941403125,1.38513989179744
7600,1981,17,1,0.4278,-0.181977988620599,0.109672034190392
7700,1981,16,2,0.96835,1.85707840551362,2.09586106945666
7800,1981,23,2,0.85347,1.05143249066187,1.23977422708119
7900,1981,20,1,0.96084,1.76051810798268,1.99063903128588
8000,1981,17,1,0.78759,0.798087008479961,1.03727822757168
8100,1981,16,1,0.29497,-0.538922980124971,-0.170109338370785
8200,1981,22,1,0.02168,-2.02022552304107,-1.8657697593697
8300,1981,20,1,0.02366,-1.98342479311389,-1.57668300542888
8400,1981,17,1,0.21008,-0.806143694302924,-0.481084676844067
8500,1981,21,1,0.02427,-1.97261011236499,-1.76014698588465
8600,1981,20,2,0.07198,-1.46120205230401,-1.18176816855107
8700,1981,17,1,0.12463,-1.15214863657322,-0.808569413407437
8800,1981,23,1,0.80798,0.87047660295902,0.953807202170407
8900,1981,21,2,0.8498,1.03557598589287,1.29907576808991
9000,1981,22,1,0.80298,0.852313707559715,0.981505755693939
9100,1981,17,2,0.22823,-0.744688587407128,-0.47234962394055
9200,1981,18,2,0.44375,-0.141468301382159,0.205745707320558
9300,1981,16,1,0.28438,-0.569878659449923,-0.200641241289308
9400,NA,NA,NA,NA,NA,NA
9500,1981,20,2,0.34573,-0.396874512597766,-0.0822627839472888
9600,1981,19,2,0.36772,-0.337898072690645,-0.0556387087340858
9700,1981,22,2,0.59411,0.238130344591255,0.475804354087122
9800,1981,23,2,0.69552,0.511558551798715,0.714241623454398
9900,NA,NA,NA,NA,NA,NA
10000,1981,17,2,0.40421,-0.242464837079561,0.0528728489109286
10100,1981,22,1,0.87368,1.14396054504999,1.2705875863564
10200,1981,16,2,0.56649,0.167444898410096,0.359800046965653
10300,1981,22,1,0.76421,0.719910666806162,0.850267187377251
10400,1981,22,2,0.48175,-0.0457619330892326,0.182778447258114
10500,1981,22,2,0.81787,0.90727763131114,1.16648002901317
10600,1981,20,1,0.87651,1.15771588329567,1.41627405919274
10700,1981,18,1,0.65347,0.394705829584623,0.641154115236867
10800,1981,22,1,0.96818,1.85469355249375,1.97506976306071
10900,1981,18,2,0.57445,0.187715090567834,0.555282262677821
11000,1981,23,1,0.64697,0.37715287359902,0.485010929537321
11100,1981,21,2,0.46195,-0.0955222728137049,0.143840826500269
11200,1981,17,2,0.39529,-0.265557526818639,0.0287226576831346
11300,1981,18,1,0.64537,0.37285011700313,0.620997160123653
11400,1981,24,1,0.75984,0.70578797703476,0.689114240189812
11500,1981,20,2,0.85492,1.05777068648311,1.42046092601036
11600,1981,17,2,0.62654,0.322703237568988,0.643922104446955
11700,1981,21,1,0.98349,2.13184002520103,2.25107422453296
11800,1981,19,2,0.29212,-0.547201945122425,-0.266212901694633
11900,1981,23,1,0.27671,-0.592643142564636,-0.436568006431862
12000,1981,18,1,0.97847,2.02312753844503,2.14300509211502
12100,1981,16,2,0.92618,1.44791794612161,1.67545775565598
12200,1981,19,1,0.52132,0.0534667781093992,0.37064496248358
12300,1981,18,1,0.92204,1.41892802793887,1.58576760249816
12400,1981,20,2,0.40114,-0.250397451843941,0.0690555941003352
12500,1981,24,1,0.32107,-0.464708807848266,-0.390366962974117
12600,1981,22,1,0.67259,0.447076258926169,0.579832332755226
12700,1981,20,1,0.36287,-0.350797863709146,-0.0210754075422572
12800,1981,22,2,0.59846,0.249363003889289,0.487398400264779
