"SubjectTag","Score","Age"
191202,104,9
191501,106,6
192201,NA,NA
192202,NA,NA
192601,93,10
192602,104,9
192701,114,10
192702,110,10
192703,100,9
192704,102,8
192801,103,13
192802,86,10
192803,87,9
193201,118.5,7
193401,NA,NA
193402,NA,NA
193501,112,9
193502,119,9
193601,105.5,9
193602,111,9
193701,111,10
193702,113.5,10
193703,116,9
193801,113,9
193802,110,8
193803,108,9
194001,74.5,10
194701,98.5,9
194801,109,9
195101,118,9
195102,126,8
195301,122,8
195302,128,5
195401,104,9
195402,104.5,9
195403,116,9
196001,102,9
196002,90,8
196201,114,9
196202,102,9
196501,112.5,10
196502,97,9.5
197201,67,9
197401,114,10
197402,121,10
198001,108,7
198002,85.5,7
198003,93,5
198601,111,10
199001,113,10
199002,104,9
199301,101,12
199302,98,9
199303,96,10
199401,106.5,10
199402,105,9
199501,99.5,7
199502,82,5
199701,115.5,10
199702,94,10
199703,108,9
199704,107.5,8
200201,97,9
200202,109.5,9
200203,88,7
200204,103.5,10
200205,120,8
200206,104,9
200207,106,11
200208,107,12
200209,71.5,10
200210,112.5,8
200301,105,5
200401,94,12
200801,121.5,10
200802,125.5,9
200803,104,7
200901,98,5
200902,99,12
201201,108,10
201202,100,8
201203,95,8
201301,105.5,10
201302,107,8
201601,108,9
201602,97,9
202101,113.5,12
202102,109,9
202103,107,9
202701,120,8
202702,121.5,7
203001,122.5,7.5
203501,101,8
203601,NA,NA
203602,NA,NA
203603,NA,NA
204201,120,9
204202,104.5,6
204601,97,11
204602,119,8
204901,100,9
205001,96,7
205002,121,5.5
205201,85,11
205202,NA,NA
205301,NA,NA
205401,93,10.5
205402,111,7
205403,97,7.5
205404,86,8
205701,89,10
205702,89,10
205801,115.5,9.5
205802,121,9
206101,NA,NA
206201,107,9
206202,98,10
206301,105.5,10
206401,105,9
206601,81,9
206602,NA,NA
206603,98,9
206604,98,10
206801,NA,NA
206802,NA,NA
207001,99,9
207002,100,10
207101,113,9
207102,109.5,8
207103,114.5,8
207201,109,10
207202,115,9
207301,103,9
207302,122,11
207401,110,10
207402,105,9
207403,104,9
207601,118,10
207602,108.5,9.5
207603,118,9
207701,NA,NA
207702,105,13
207703,99,12
207704,98,10
207901,89,9.5
207902,NA,NA
208201,112,9
208301,119,9
208302,107,10
208801,110,7
208802,108,10
209401,108,13
209402,123,12
209403,114.5,10
209801,92,8.5
209802,106,10
209803,73,9.5
209804,82,8
209901,103,8
209902,109.5,7
209903,109,5
210201,108,13
210202,95,12
210203,105,9
210204,106,10
210205,112,9
210301,102,9
210302,108,9
210303,110,9
210304,107,9
210401,110,10
210402,102,10
210501,100,11
210502,85,9
210503,110,9
210504,89,9
211201,103,10
211202,109,9
211203,111,10
211901,96,12
211902,109.5,11
211903,95,10
211904,93,9
212001,107,9
212101,101.5,11
212102,98,10
212301,104,9
212302,125,7
212401,108,9
212501,114,10
212502,111,8
212601,121.5,8
212801,100,8
212802,113,9
213001,106,9
213002,96,10
213003,100,7
213101,95,10
213102,117,10
213201,104,7
213301,101,10
213401,100.5,10
213402,100,8
213701,111,10
213702,101,9
213703,117,7
213901,112,9
213902,101,8.5
213903,107,7
213904,102,6
214001,104,7
214201,102,8
214202,115.5,7
215001,NA,NA
215301,110,10
215302,107,9
215303,107,9
215304,103,10
215401,100,8
215402,107,6
215501,99.5,9
215502,98,7
215601,97,9
215801,112,12
215802,102,9
216101,97,13
216102,NA,NA
216401,113,9
216701,116,8
216702,117,8
217401,102,9
217402,111,10
217403,108,8
217404,122,8
217501,115,9
217502,104,9
217601,115,10
217901,98,10
217902,77,7
217903,95,9
218101,110.5,7
218102,NA,NA
218601,103,8
218602,131.5,11
219001,97,10
219002,102,9
219003,106,9
219301,102.5,10
219302,114,12
219601,94,13
219602,107,12
220001,124,9
220002,109.5,7
220301,111,9
220401,98,9
220402,94.5,10
220601,103,8.5
220602,90,7
220603,NA,NA
220604,NA,NA
220605,NA,NA
220606,115.5,8.5
221001,98,9
221002,97,9
221003,107,9
221101,105,10
221201,92,9
221202,120,10
221401,93,9
221402,95.5,9
221501,NA,NA
221502,105,10
221503,97,7
221504,90,6
221701,107,8
221702,94,9
222101,99,10.5
222401,NA,NA
222402,111.5,9
222501,113,9
223001,114,9
223002,125.5,8
223201,113,9
223202,103,6
223401,98,9
223402,112,10
223501,126,9
223502,103.5,7
223701,118,8
223702,118,9
223703,114,9
224001,100,9
224002,101,9
224003,100,9
224301,105,9
224302,105.5,9
224601,114,9
224701,95,10
224702,95.5,6
224901,105,9
224902,96,6
225001,92,10.5
225002,95.5,9
225003,93,9
225101,98,11
225102,102.5,10.5
225201,79,8
225301,69.5,10
225302,81.5,10
225401,68.5,10
225701,110,8
226001,88,10
226002,100.5,8
226003,94,9
226004,101.5,8
226201,69,13
226202,79,12.5
226203,97.5,12
226204,76,12
226205,86.5,11
226501,100,11
226502,86.5,9.5
226503,115,9
226701,77,12
226702,87,12
226703,NA,NA
226704,87,10
226705,88.5,10
226706,96,9
226707,101.5,9
226708,96,6
226709,NA,NA
226801,101,7.5
227001,103,9
227002,97,11
227101,93,9
227102,109,9
227201,96.5,10
227202,98,10
227401,NA,NA
227402,85.5,6
227501,97,9
227502,NA,NA
227801,119,10
227802,120,9
228001,NA,NA
228101,84,12
228102,98.5,10
228103,93,9
228501,123,10
228502,95,9
228601,NA,NA
228701,112,9
228702,116,9
228703,116.5,8.5
228801,116,8
228802,88,7
228901,109.5,10.5
229001,114,8.5
229002,123,10
229201,115.5,7
229202,113,5
229203,NA,NA
229401,88,7
229402,97,12
229601,135,8
229602,77,5
229901,135,8
229902,123,7
229903,109,7
230101,108,9
230102,114,8
230801,102,10
230802,106,8
231101,94,12
231102,93,9
231103,101.5,7.5
231301,111,8
231302,89.5,8
231501,99,8.5
231502,88,10
231503,96,10
231701,96.5,9
231702,103,7
231901,103,9
231902,95,12
231903,89,11
231904,88,9
231905,103,9
231906,NA,NA
232201,117.5,8
233301,98,9
233901,122,9
233902,109,9
234001,105,9
234002,104,10
234003,109,7
234201,88,9
234202,89,9
234701,91.5,10
234702,95,9
234703,102,9
234801,94.5,10.5
235501,91.5,11
235502,65,9
235503,82,9
235701,96,10
235702,97,6
235901,94,8
235902,95,9
235903,92.5,9
236001,92.5,10
236002,95,10
236201,97,10
236202,83,9
236203,104,9
236801,114,9
236802,NA,NA
236901,116.5,9
237401,104,13
237402,103,8
237403,NA,NA
237404,97,13
237501,118,9
238301,88,9
238801,105,8
238802,105,7
239401,107,9
239402,95,9
239501,82,10
239502,82,8
239503,105,9
239504,108,8
239505,100,9
239601,93,9.5
239602,86,10
239603,89,9
239604,97,9
239801,85.5,11
239802,87.5,10
239803,94,6
239804,NA,NA
239901,108,11
239902,98,9.5
239903,98,9
240001,107.5,9.5
240002,109,9
240201,102,11
240202,111.5,8
240203,113,9
240204,NA,NA
240401,NA,NA
240402,NA,NA
240403,NA,NA
240404,NA,NA
240501,NA,NA
240701,96,10
240702,93,9
240801,109,5
240802,96,10
240803,97,9
240804,97,12
240901,101,9
240902,107,9
241001,92,9
241002,101,9
241101,NA,NA
241102,NA,NA
241201,93,10
241202,104,10
241203,102.5,9
241204,102,7
241401,NA,NA
241601,99,9
241602,125,9
241603,109,9
241801,95,9
242001,97,9
242002,84,10
242401,103,10
242601,116,10
243001,95,13
243002,95.5,10
243301,119.5,9
243302,121,6
243401,112,12
243402,108.5,10
243501,105.5,6
243601,96.5,9
243602,101,10
243701,114,9
244101,109,9
244102,105,10
244103,113,10
244201,102,9.5
244202,97,9
244401,NA,NA
244402,NA,NA
244403,NA,NA
244404,NA,NA
244701,103,7
244702,102,10
244703,89,9
244704,82.5,10
244801,116.5,12
244802,93,11
245001,97,11
245002,82,10
245401,118.5,9.5
245402,113.5,10.5
245701,NA,NA
245801,97,11
245802,104,9
245901,97,10
245902,90,9
245903,90,9
246201,100,9
246202,98,9
247101,100.5,9
247401,108,9
247402,103,9.5
247801,115,10
247802,91,9
248001,89,10
248002,99,9
248201,86.5,10.5
248202,91,11
248203,65,12
248204,118,9
248301,99,9.5
248302,107,10
248401,96,9
248402,92,8
248403,111,8
248404,106,5
248501,106,9
248801,104,11.5
248802,92,8
248803,101.5,7
248804,98.5,9
249201,108,10
249202,103,10
249203,103,9
249204,100,8
249205,110,7
249601,108,12
249901,109,7
249902,102,11
250001,NA,NA
250101,107,8
250301,105,5
250501,119,11.5
250502,106,9
250701,110,9
250702,111.5,8
251001,104,10
251002,112,9
251003,112,8
251101,NA,NA
251401,108.5,9
251402,114,9
251501,115,10
251502,122,9
251503,121.5,9
251901,NA,NA
252101,119,9
252102,116,10
252301,112,10.5
252302,122,8.5
252303,109.5,9
252501,101,13
252502,106,11
252503,NA,NA
252801,98,11
252802,78,9
252901,84.5,9
252902,88,9
253001,87,9
253002,96,8
253101,NA,NA
253102,NA,NA
253103,NA,NA
253104,NA,NA
253301,NA,NA
253601,NA,NA
253602,NA,NA
253603,96,10
253604,100,9
253801,86,10
253802,101,9
253803,95,9
254201,118,9
254202,115,9
254401,96,8
254402,102,9
254901,106,10
254902,103,10
254903,118,8
255101,112,9
255201,107,9
255202,117,9
255401,118,5
255801,NA,NA
255802,NA,NA
255803,NA,NA
255901,86.5,9
255902,89,8
255903,98,9
256001,86,5
256002,NA,NA
256003,NA,NA
256401,104,9
256402,89,10
256403,98,8
256404,105.5,9
256501,NA,NA
256502,NA,NA
256503,115,14
256601,97,10
256701,105,9
256901,103,9
256902,97,10
256903,99,7
257001,101,9
257002,88,9
257301,113,9
257701,94.5,10
257702,102,10
258001,95,6
258501,93,6
258801,125,9.5
259101,113.5,10
259201,98.5,9
259601,105,12
259901,74,5
259902,NA,NA
259903,92,9
260501,107,7
260601,104,9
260602,109.5,8
260701,112,8
260702,116.5,9.5
260801,NA,NA
261501,98,8
261502,95,10
261503,95.5,9
261504,106,7
262301,109,9
262601,109,9
262602,127,8
262701,113,9
262702,118,7
262901,121.5,11
263501,110,10
263601,104,7
263801,126,8
264001,100,14
264002,104,9
264501,105,10
264502,107.5,8
264601,112.5,9
264801,96,8
264802,NA,NA
265101,118,10
265102,120,7
265103,104,7
265201,80,11
265202,102,9
265401,91,9
265402,74,9
265403,89,9
265501,65,9
265502,70.5,9
265503,65,9
265504,100,10
265505,88,9
265506,89,9
265507,98,8
265901,100.5,11
265902,100,9
266201,72,10
266202,90,8
266203,90.5,7
266301,83,9
266302,101,10
266303,93.5,9
266304,87.5,8
266305,74,6
266306,92.5,12.5
266307,105.5,8.5
266308,NA,NA
266309,99,7
266401,98,12
266901,91,10
266902,105,9
267001,83.5,9
267002,91.5,8
267201,86,11
267202,101,10
267501,98,10
267502,89,10
267503,78,9
267504,100.5,9
267701,89.5,8
267702,110,7
267901,105,10
267902,102,9.5
267903,97,8
267904,74,9
267905,97,9
267906,92.5,9
268001,114,9
268002,103,10
268101,102,8
268102,85,10
268103,103.5,8.5
268104,101.5,7
268301,84.5,10
268302,86,8
268303,97,9
268304,NA,NA
268305,96.5,8
268901,96.5,9
268902,105,9
269001,89,9
269002,76,9
269003,82,10
269101,102,9
269102,93,8
269201,97,9
269202,95,8
269203,NA,NA
269801,65,9
269901,94,10
269902,106.5,8
270001,103.5,9
270002,86,10
270101,97,6
270401,NA,NA
270501,85.5,9
270502,79,10
270503,106,6
270601,106,9
270602,100,9
270901,107,9
271001,98.5,9
271002,99,10
271003,NA,NA
271201,97,6
271202,91,11
271203,99.5,9.5
272001,77.5,14
272002,78,11
272003,80,9
272201,102,10
272301,115.5,9
272302,107.5,9
272701,NA,NA
272901,85,10
272902,86.5,8
272903,112,8
273101,109,10
273102,94,9
273501,115,9
273601,119,10
273701,85,10
273702,97,9
273703,100,8
273901,122,12
273902,112,9
274001,120,9
274002,106,7
274201,109.5,11
274202,110.5,8
274301,90.5,9
274302,86,9
274401,98.5,8
274601,121,14
274602,111,10
274801,103,10
274802,90,9
275201,94,12.5
275202,88,9.5
275203,103,6
275301,102.5,10
275302,87,9
275701,87,11.5
275702,97,7
275703,81,5
275801,97,6
275802,95,13
276901,65,9
276902,79.5,8
276903,75,9
277001,65,10
277002,100,9
277003,102,9
277101,98,9
277102,93,8
277103,94,9
277501,104,10
277502,100.5,8
277503,93,10
277801,93.5,10
277802,95,10
277803,98,10
278101,105,10
278102,104,9
278103,106,8
278401,102.5,9
278501,99,10
278901,104,7
278902,NA,NA
278903,NA,NA
279001,100,8
279002,101,8
279201,98,10
279202,95,10
279203,105,9
279501,97,11
279502,97,9.5
279503,65,10
279504,84,9
279601,88,10
279602,87,9
279603,89,7
279604,93,6
280401,112,9
280402,110.5,9
280801,96,10
280802,107,10
280803,103,7
280901,114,10
280902,108.5,9
281001,110,8
281401,104,9
281402,105.5,10.5
281701,103,8
281702,97,7.5
281703,106,6
281801,99,9
281802,104,9
281901,103.5,10
281902,107,10
282201,84,13
282202,NA,NA
282301,84,10
282302,112.5,8
282601,103,9
282602,100,9
282603,105.5,9
282801,94,9
282802,85,10
282803,82,9
282901,93.5,10
282902,103,9
283401,103.5,10
283402,122,9
283403,NA,NA
283501,103.5,11
283502,103,9
284101,109.5,10
284102,107,9
284103,111.5,9
285001,128,9
285002,129,7
285501,88,9
285502,91,9
285503,96.5,10
286401,103.5,9
286901,NA,NA
287701,110,9
287702,125,9
287801,78,12.5
287802,NA,NA
287803,84,10
287804,93,10
287805,74,9
287806,85,9
287901,101,8
287902,NA,NA
288001,NA,NA
288002,NA,NA
288301,126,8
288302,100,9
288303,130.5,7.5
288501,113,10
288502,117,9
288503,128,9
288601,91,12
288602,94,12
288603,106,10
288701,111,7
288901,NA,NA
288902,NA,NA
289201,135,9
289202,129.5,9
289203,125.5,6
289401,125,9
289402,108,7
289403,NA,NA
290001,121.5,9.5
290002,117,11
290201,117,8
290202,133,10
290801,102,9
290802,112,10
290803,109.5,9
290901,131,10
290902,107,8
291001,NA,NA
291002,NA,NA
291101,114,10
291102,97,6
291103,83,6
291104,88,12
291801,117,9
291802,107,9
291901,123,5
292601,119.5,8
292602,121.5,6
292603,116,5
292604,NA,NA
292801,107,9
292802,122,9
293001,NA,NA
293401,NA,NA
293402,NA,NA
293403,NA,NA
293501,NA,NA
293502,NA,NA
293601,107,11
293801,105,9
294301,108,8
294302,116,7
294303,135,6
294601,122,10
294602,117,9
294801,116,9
294802,112.5,9
294803,101.5,9
294804,131,9
294901,114,10
294902,118,9
294903,112,9.5
294904,112.5,9
295201,111,9
295501,113,8
295502,126,8
295901,127,8
295902,128,7
295903,65,6
296101,110,8
296102,103,8
296103,105,7
296401,117.5,9.5
296402,101,5
296901,NA,NA
297001,99.5,10
297002,85,10
297003,104,9
297801,122,10
297802,110,10
297901,103.5,10
297902,102,9
297903,119,7
298301,106,9
298302,115,7
299001,117,10
299002,109,8
299301,94,9
299302,84.5,8
299501,108,10
300401,87,11
300402,103,8
300403,88.5,11
300404,78,9
300701,109.5,6
301001,88,7
301101,128,9
301102,135,9
301201,106.5,9
301301,NA,NA
301302,NA,NA
301303,NA,NA
301401,105,9
302001,118,9
302101,100,13
302102,107,12
302103,102.5,9
302104,108,8
302301,103,8
302302,99,8
302501,113,9
302502,131.5,9
302701,107,12
302702,103,9.5
302703,106,7
302704,105.5,9
303501,118,5
303502,123.5,12
303503,86.5,11
303504,107.5,10
303505,116,6
303601,115,10
303602,110,10
303801,NA,NA
303802,NA,NA
303803,NA,NA
304101,126,12
304102,103,10
304103,97,10
304104,112,10
304201,110,9
304301,117,8
304302,105,9
304501,82,12
304502,91,10
304503,72,8
304504,77.5,11
304601,NA,NA
304602,80.5,13
304603,99,9
304604,99,9
304605,98,10
304701,100,11
304702,102,8
304801,107.5,6
304802,NA,NA
304901,107,12
304902,105,10
305101,95.5,10
305102,95,10
305103,97,9.5
305301,NA,NA
305401,NA,NA
305402,94,13
305403,NA,NA
305701,90.5,12
305702,104,9
305801,105,9.5
305802,89.5,6
305803,118,6
305804,103,8
305805,110,10
306101,112,12
306601,90,10
306602,95.5,6
306801,NA,NA
306802,121,13
306901,97,12
306902,93,8
307301,109,10
307302,85,7
307401,108.5,9
307402,108,9
307403,78,8
307501,96,9
307801,110.5,6
307802,NA,NA
307901,118,9
308001,98.5,7.5
308101,116,9
308501,125.5,9
309301,113,10
309302,65,10
309501,118,12
309502,95.5,7.5
309601,102,9
309602,103,8
309801,119,9
309802,109,9
309901,117,9
309902,128,8
310101,115,9
310102,110,9
310103,119,9
310501,100,10
310502,111,10
310601,122,5.5
310701,117,9
310702,NA,NA
310801,NA,NA
310802,102,9
310803,106,10
310901,126,8
311101,96,9
311102,112,9
311301,94,10
311302,105,10
311501,118,8
311701,104,6
311702,103,10
311801,110.5,9
311802,135,7
311901,100,7
312001,117,9
312002,103.5,8.5
312101,117,10
312102,112.5,9
312103,86,10
312201,108,9
312202,122.5,9
312901,93,9
312902,106,10
313001,NA,NA
313002,NA,NA
313501,104,8
313502,108,6
314501,128,9
314502,135,9
315001,111,9
315002,131,9
315101,94,8
315102,95,8
315103,97,10
315401,131,10
315402,128,8.5
315403,123,8
315404,128,6
315501,96,9.5
315502,105.5,12
315503,94,11
315601,131,9
315602,120,8
316201,118,10
316202,121,9
316301,112,10
316302,104,9
316303,106,9
316401,124,9.5
316402,99,9
316501,112,9
316502,110,8
316503,104,7
317601,NA,NA
317602,NA,NA
317801,103,10
317802,96,6
317901,98,9
318201,108.5,9
318202,115.5,5.5
318203,NA,NA
318801,NA,NA
318802,NA,NA
319001,108,10
319002,98,7
319003,NA,NA
319004,NA,NA
319005,NA,NA
319006,NA,NA
319701,116,9
319702,105,9
319801,100,10
319802,106,10
320101,105,10
320102,113,9
320103,108,8
320401,107,11
320402,110,10
320601,100,9
321201,NA,NA
321701,NA,NA
322101,97,8
322102,106,6
322201,NA,NA
322501,107,9
322502,105,9
322503,113,9
322504,NA,NA
322505,111,8
323301,NA,NA
323601,116.5,7
323701,107,10
324201,108,10
324202,106.5,9.5
324301,95,9
324302,107.5,8
324303,101,7
324401,127,9
324402,113,9
324501,89,6
324801,110,9
324802,103,8
325001,123,9
325002,116,9
325003,118,9
325004,94,9
325201,88,10
325202,NA,NA
325301,NA,NA
325401,106,9
325402,127,10
325901,85,10
325902,84,9.5
325903,88,11
325904,82,8.5
326001,90.5,10
326002,92,7.5
326801,NA,NA
326802,92,10
326803,NA,NA
326804,NA,NA
326805,84,8
326806,96,7
326807,97,12
326808,100,10
326901,109,8
327301,110.5,11
327302,104,9
327303,93,5
327801,104,10
328001,92,7
328002,122.5,7
328003,96,6
328601,95,9
328602,98,6
328603,NA,NA
328701,99,10
328702,105,8
328703,113,7
328704,109,7
328801,NA,NA
328802,NA,NA
329101,118,10
329102,113,7
329201,NA,NA
329301,119,10
329302,107,10
329801,NA,NA
329901,NA,NA
329902,NA,NA
330301,123,10
330302,111,10
330303,120,9
330401,114.5,9
330601,102,9
330602,100,10
330901,NA,NA
331201,87,9
331501,123,15
331502,NA,NA
331503,94,13
331504,99,10
331505,96,10
331506,101,9
331601,84.5,12
331602,82,8
331603,NA,NA
331604,131,9
331605,NA,NA
331701,NA,NA
331702,100,6
331703,105,9.5
331704,96,12
331705,75,10
332001,NA,NA
332002,NA,NA
332003,NA,NA
332101,NA,NA
332102,NA,NA
332201,108,10
332501,87.5,10
333801,NA,NA
333901,NA,NA
333902,NA,NA
333903,NA,NA
334101,118,8
334201,99,9
334501,NA,NA
334701,111,8
334702,116,9
334801,102,11
334802,105,9
334803,NA,NA
334804,99,9.5
334805,94,7
334806,90,11
335001,108,9
335002,116,8
335201,NA,NA
335202,126,9
335203,125.5,6.5
335501,103,8
335502,114,7
335503,109,12
335801,102.5,8
335802,120,10
336001,100,10
336002,93,7
336201,112,6
336301,120,10
336302,116,10
336401,105,9
336402,103,10
336501,112,9
336502,106,10
336503,109,10
336504,114,9
336901,115,10
336902,102.5,9
337001,96.5,8.5
337002,121,8
337003,NA,NA
337101,81,7
337102,93,5
337103,NA,NA
337104,89,11
337105,65,9
337301,78,7
337302,103,6
337701,NA,NA
338301,NA,NA
338401,NA,NA
338601,NA,NA
338701,116,8
338702,123,8
338703,102,9
339301,125.5,8
339302,119,7
339701,105,10
339702,97,10
339703,118,9
340201,108.5,8
340202,117,7
340203,107,5
340701,107,10
340702,114,10
340801,106,10
340802,118,7
340803,84,6
340804,NA,NA
341101,121.5,7
341102,NA,NA
341201,90,9
341202,97,10
341301,118,9
341302,104,9
341601,101,6
341801,110,8
342101,103.5,10
342102,115,10
342201,111,8
342202,123.5,7
342301,114.5,10
342302,103,9
342303,128,10
342304,114,7
342401,107,9
342402,114,8
342601,126,9
342602,96,10
342603,135,9
342801,131,9
342802,129.5,9
342803,112.5,9
342901,112,9
342902,115,9
342903,118,9
342904,106,9
343001,115,9
343002,111,9
343003,113,9
343004,115,9
343005,121,9
343006,110,9
343007,95,7
343008,102,6
343201,114,9
343202,110.5,10
343203,101.5,8
343301,118,10
343302,104.5,9
343303,121,9
343401,121.5,9
343501,95,10
343502,94.5,10
343601,NA,NA
343602,111,11
343603,117,12
343604,112,7
343801,87,7
343802,102,8.5
343803,100,9
344201,135,6
344202,NA,NA
344401,101,11
344402,104,10
344501,111,11
344601,108,12
344602,113,9
344603,100,7
344701,94,12
344702,89,12
344703,79.5,9.5
344704,73,10.5
344705,87,9.5
344801,NA,NA
344802,NA,NA
344803,NA,NA
344804,NA,NA
344805,NA,NA
344806,NA,NA
345101,111,7
345102,101,12
345103,111,10
345201,111,8
345202,97,7
345401,86,8
345402,109.5,8
345403,107,8
345601,94,7
345602,105.5,9
345701,92,9
345702,100,9
345801,102,10
345802,102.5,10
345803,91,10
345901,131,8
345902,128,7
346501,106,9
346502,103,10
346503,116,9
346701,118,8
346702,93,10
346703,111,9
346901,133,9
346902,127,8
347501,102,11
347502,101.5,9
347503,NA,NA
347601,95,10
347602,104,9
347603,100.5,9
347604,90,8
348001,106,7
348101,94,10
348102,104,10
348103,106,9
348501,NA,NA
348502,NA,NA
348601,95,9
348602,100,8
348603,NA,NA
348604,NA,NA
348701,121,9.5
348702,107,9
348703,110,10
349101,112,9
349102,88,10
349103,118,8
349801,NA,NA
349802,NA,NA
350001,98,9
350002,NA,NA
350003,NA,NA
350101,110,6
350201,102,8
350202,102,9.5
350401,NA,NA
350501,117,7
350601,109,9
350602,116.5,9
350603,109,9
351101,108,9
351102,109,8
351201,135,5
351401,118.5,8.5
351402,115,11
351403,118.5,9.5
351801,99,9
351802,105,7
351901,65,8
351902,103.5,7
351903,91,6
352201,112,8
352202,111.5,7.5
352301,104,10
352302,98,11
352401,98.5,7
352402,83,11
352701,103.5,6
352702,91,9.5
352703,93,9.5
353101,102,9
353102,101,10
353201,100,9
353202,100.5,9
353203,102,9
353204,111,9
353601,122,5
353602,NA,NA
353701,114,9
353702,98.5,9
354201,NA,NA
354202,NA,NA
354203,NA,NA
354301,103,10
354302,102,9
354303,96,9
354401,88,11
354402,NA,NA
354403,NA,NA
354404,71.5,9.5
354405,NA,NA
354406,NA,NA
354407,65,9
354408,65,9
354501,116,9
354502,118,9
354503,121,10
354601,95,10
354602,95,9
354701,98.5,9
354801,96,10
354802,104,10
354803,101,9
354901,113,9
354902,105,10
355101,114,10
355102,112,10
355201,110.5,9
355202,127,8
355401,113,11
355501,109,9
355502,110,10
355601,102,7
355602,NA,NA
355603,92,11
355701,93,9
355702,97,9
355703,85,9
355801,111.5,9
355802,107,10
356001,121,10
356002,123,7
356401,101,10
356402,96,9
356501,111,8
356502,95,9
356503,104,9
356601,103.5,10
356602,107,9
356603,103,8
356801,NA,NA
356802,NA,NA
356803,NA,NA
357201,114,9
357202,116,8
357203,121,10
357301,99,10
357302,125,10
357601,116,9
357602,114.5,9
358401,108,10
358402,92,10
358601,112,9.5
358602,89.5,9
359401,117,10
359402,123,10
359403,111,9
359701,110.5,10
359702,103,10
359703,90,8
359704,116,9
359705,111,6
360101,112,10
360102,116.5,9.5
360103,104,9
360301,100,9
360302,NA,NA
360303,101,9
360501,109,9
360502,114,9
360601,113,10
360602,101,9
360603,104,9
360901,117,8
360902,94,9
360903,108,8
361001,100,9
361101,110,9
361102,99.5,9
361103,90,9
361301,111.5,9
361401,114,9
361402,128,8
362401,NA,NA
362402,121,9
362601,102,10
362602,108,9
363101,NA,NA
363301,105,9
363302,106.5,9
363303,101,8
363501,92.5,9.5
363502,65,13
363701,102.5,11.5
363702,NA,NA
363703,94,9
364101,108.5,10
364102,110,9
364103,107,7
364701,NA,NA
364702,NA,NA
364703,97,7
364801,97,9
364802,NA,NA
364803,88.5,9
364804,75,9
364805,95,9
364901,96,6
364902,101,5
364903,106,9
365001,91.5,9
365002,94,9
365003,117,9
365101,116,9
365201,110,6.5
365202,NA,NA
365401,102,9
365402,100,9
365403,89,9
365404,102,10
365405,75,10
365406,105.5,8
365407,96,8
365408,90,7.5
365409,93,7
365410,77,5
365501,98,10
365502,96,9
365901,88.5,9
365902,85,10
365903,79.5,8
366101,97.5,10
366201,103,9
366202,103,9
366301,128,8
366302,108.5,10
366701,NA,NA
366901,117,10
366902,114,8
366903,114,10
367401,NA,NA
367402,NA,NA
367701,110.5,9
367702,118.5,7
367801,NA,NA
367901,101.5,9
367902,92,10
367903,87,10
368101,121,9
368102,123.5,9
368201,NA,NA
368202,NA,NA
368203,NA,NA
368701,116,9
368702,111.5,9
368801,NA,NA
368802,NA,NA
368803,NA,NA
368804,NA,NA
369101,94,12
369102,91,9
369103,86,10
369201,83,10
369202,99,8
369701,105,9
369702,95,9
369703,109,9
369704,88,9.5
369705,NA,NA
369801,102,9
369802,101,9
369803,97.5,8
369901,113,10
370301,99,11
370302,87.5,9
370303,92,8
370401,99.5,13
370402,97.5,8
370403,NA,NA
370501,121.5,12.5
370502,103,9.5
371101,100.5,9
371102,115,8
371103,105,8
371104,110.5,7
371105,112.5,6
371401,97,12
371402,82,10
371403,96,9
371501,107.5,9
371502,104.5,9
371503,120,9
371504,96.5,7
371701,108,12
371702,NA,NA
371801,97,8
371802,124,8.5
371803,121.5,7.5
371901,86,10
371902,95,9
371903,NA,NA
372001,107.5,8
372002,120,7
372601,92,12
372602,99.5,10
372603,97.5,8
372701,107,7
372702,113,5
372703,NA,NA
372801,107,11
372802,97,10
372803,69,10
372804,96,9
372901,100,9
372902,103,9
372903,87.5,9
372904,96,8
372905,105,8
373401,113,9
373402,101,10
373403,98.5,9
373501,98,9
373502,119.5,9
373503,111,8
373504,114,7
373601,122,9
373602,127,9.5
373701,96,8
373702,118,7
373703,NA,NA
373801,82,7
373901,95,9
373902,117,10
374001,97,9
374002,102,9
374101,122,10
374401,98,9
374601,112,9
374602,105,10
374603,124.5,8
375201,99,8
375301,109.5,9
375302,135,10
375303,105,10
375304,114,8
375601,108,10
375801,107,7
375901,104,8
375902,90,7
375903,92,8
376801,101,13.5
376802,100,11.5
376901,81,10
376902,98.5,8
376903,86.5,9
377001,112,9
377002,106,9
377101,65,9
377102,125,9
377103,100.5,8
377104,116,7
377201,100,8
377202,99,6
377203,NA,NA
377301,109,13
377302,104,7
377303,98,6
377401,100,8
377402,89,6
377901,113,12
377902,100,10
377903,120,9
377904,114,10
378101,101,6
378102,98,6
378301,97,10
378302,103.5,10
378401,86,9.5
378402,79,10
378601,103,9
378602,113,9
378701,100,9
378702,108,9
378703,106,9
378704,105,9
379001,NA,NA
379002,99,9
379101,100,9
379102,100,10
379103,125,8
379301,96,8
379302,99,12
379401,NA,NA
379402,123,10
379403,114.5,9
379701,104,9
379801,105,9
379802,114,10
379803,107,10
379804,114,10
379805,111.5,9
379901,121,7
379902,104,7
380001,112,9
380002,122.5,9
380201,121,10
380401,113,9
380402,118,9
380601,106,9
380602,107,10
380901,110,5
381201,116,9
381301,NA,NA
381302,NA,NA
381303,118,9
381304,113,9
