"SubjectTag","Score","Age"
40702,115,8
41401,104.5,9
41402,112,11
41601,103,10
41602,117,9
41603,104,9
41604,115,10
41801,114,10
42301,105,7
42302,NA,NA
42501,100,12
42502,106,11
42503,111,10
42504,104,10
42505,108,9
42701,108,8
42801,123,10
42802,105,8
43101,106,8
43102,101,9
43103,111,10
43701,115,10
43702,98,10
43703,102,9
43801,95.5,9.5
43901,116,10
43902,120,8.5
44201,116,13
44202,101.5,10
44203,95,9
44401,112,10
44402,112.5,10
44601,78,9
44602,111,9
44901,100,8
44902,103,6
45201,118,10
45202,112,8
45501,116,9
45502,105,10
45801,115.5,9
45901,135,9
45902,128,9
45903,135,9
46201,128,9
46501,103,10
46701,122.5,8
46702,120.5,8
47101,105,8
47102,120.5,9
47201,126,8
47401,102.5,9
47402,108,9
47403,117,8
47501,89,8
47601,107,9
47602,117,9
47801,88,12
47802,97,10
48501,NA,NA
48502,101.5,9
48503,105,8
49101,NA,NA
49102,NA,NA
49201,108,9
49202,114.5,9
49203,112,10
49401,105,9
49402,113,7
49501,108.5,9
49502,108,8.5
49901,107.5,9
50101,118,7
50102,112,7
50301,94.5,6
50302,NA,NA
50303,NA,NA
50401,NA,NA
50402,104,7
50403,108,9
50601,103,10
50701,111.5,10
50702,105,9
51401,90,8
51402,97.5,11
51403,83,11
51501,113,7
51502,102,5
51901,91,9
52201,97,12
52202,NA,NA
52501,110,5
52502,NA,NA
52801,115,10
52802,104.5,8
52901,NA,NA
52902,NA,NA
52903,NA,NA
53001,NA,NA
53002,78,11.5
53003,105,10
53201,NA,NA
53202,NA,NA
53301,101,9
53601,94,9
53602,102,9
54201,98,9
54202,109,9
54401,111,9
54601,109,9
54602,97,8
54801,100,8
54802,106.5,8
54803,118,9
54804,105,8
55001,110,10
55002,118,9
55201,117,9
55202,123.5,9
55701,114,10
55702,105,10
55703,111.5,9
55704,101,10
55801,107,9
55802,97,9
55803,106,9
56301,97,9
56302,102,8
56303,94,10
56701,110,9
56702,106,9
56801,113,9
57201,NA,NA
57401,NA,NA
57601,127,10.5
57602,108,10.5
57603,114,10
57604,131,8
57901,116,9
57902,119.5,10
58201,NA,NA
58501,71,10
58502,83,9
58503,96,9
58504,100.5,8
58505,114,10
58801,99.5,8.5
58802,103.5,9.5
58803,81,8
58804,102,8
58901,93,10
58902,90,7
59001,86,12
59002,94,11
59003,100,10
59004,92.5,10
59301,NA,NA
59302,NA,NA
60401,122.5,9
60402,114,9
60403,118,9
60404,117,9
60801,105,9
60802,88,9
60803,107,9
61101,100,8
61102,112,10
61401,111.5,11
61402,104,9
61501,93,9
61502,91,9
61801,98,10
61802,97.5,10
