"SubjectTag","SubjectID","Generation","HeightZGender","HeightZGenderAge","MathStandardized"
354501,354501,2,-0.705114756255265,-0.829210626116616,116
354502,354502,2,-1.95442269817925,-2.03045130385018,116
354503,354503,2,-1.25399939906286,-1.25620664563822,121
354601,354601,2,0.847270498286312,0.829678056200991,95
354602,354602,2,NA,NA,94
354701,354701,2,-1.60421104862105,-1.49330876883192,108
354801,354801,2,1.8979054469609,1.78985235413188,93
354802,354802,2,1.23324442432842,1.17035305243433,97
354803,354803,2,0.587124697467192,0.752207479899074,103
354901,354901,2,-1.95442269817925,-1.8216248811283,98
354902,354902,2,-0.705114756255265,-0.816729669874966,113
355101,355101,2,1.19748214784451,1.15803853743711,118
355102,355102,2,NA,NA,125
355201,355201,2,-0.0589950293940365,0.129258968915284,118
355202,355202,2,NA,NA,128
355401,355401,2,-0.0589950293940365,-0.1624455367281,121
355501,355501,2,0.264064834036578,0.169303840381376,109
355502,355502,2,-0.903787749504662,-0.911722153348207,110
355601,355601,2,1.19748214784451,1.19363737260506,102
355602,355602,2,NA,NA,NA
355603,355603,2,-1.02817461968588,-0.952199077071496,95
355701,355701,2,0.587124697467192,0.49798167713349,93
355702,355702,2,0.847270498286312,0.810700308101872,92
355703,355703,2,0.910184560897806,0.914152765875814,82
355801,355801,2,1.8979054469609,1.97015674609882,100
355802,355802,2,1.55630428775903,1.51799490766511,105
356001,356001,2,1.19748214784451,1.2535066840321,116
356002,356002,2,NA,NA,125
356401,356401,2,0.264064834036578,0.183834616323276,95
356402,356402,2,-0.705114756255265,-0.628504710460863,87
356501,356501,2,1.23324442432842,1.17108464204893,126
356502,356502,2,1.19748214784451,1.2535066840321,97
356503,356503,2,NA,NA,100
356601,356601,2,-1.95442269817925,-2.03045130385018,103
356602,356602,2,-0.382054892824651,-0.396270195608205,107
356603,356603,2,-1.67429434654711,-1.78920225589883,105
356801,356801,2,NA,NA,NA
356802,356802,2,NA,NA,NA
356803,356803,2,NA,NA,NA
357201,357201,2,1.23324442432842,1.22000486692871,118
357202,357202,2,-0.382054892824651,-0.473844341084092,114
357203,357203,2,1.5476937974027,1.54791437360958,107
357301,357301,2,2.24811709651909,2.34792973928596,122
357302,357302,2,1.55630428775903,1.51673611592514,107
357601,357601,2,0.146847199169922,0.148271792649979,117
357602,357602,2,-0.0589950293940365,-0.145004862380408,120
358401,358401,2,-0.705114756255265,-0.719525208115589,105
358402,358402,2,-0.903787749504662,-0.871595588657143,87
358601,358601,2,-0.382054892824651,-0.488051833122852,106
358602,358602,2,-1.35123448311649,-1.44858053669552,89
359401,359401,2,0.910184560897806,0.837702097354673,119
359402,359402,2,-0.0589950293940365,-0.1624455367281,131
359403,359403,2,0.847270498286312,0.816029590072314,115
