"SubjectTag","ExtendedID","Generation","Gender","Mob","HeightInchesLateTeens","WeightPoundsLateTeens","AfqtRescaled2006","AfqtRescaled2006Gaussified","Yob","HeightZGender","HeightZGenderYob","WeightZGender","WeightZGenderYob","BmiLateTeens","Afi","Afm"
100,1,1,2,1958-09-15,NA,NA,NA,NA,1958,NA,NA,NA,NA,NA,NA,NA
200,2,1,2,1959-01-15,62,125,0.0684100016951561,-1.48773799479705,1959,-0.789739089357928,-0.728916387814677,-0.258685272568678,-0.301761219150548,22.8603017689906,NA,9
300,3,1,2,1961-08-15,70,160,0.494439989328384,-0.0139373311628127,1961,2.11445494079046,2.18530184586402,1.18969210953308,1.13477834270534,22.9551020408163,16,10
400,3,1,2,1962-08-15,67,109,0.557609975337982,0.144912383121464,1962,1.02538217948481,1.11227975648668,-0.920800647243768,-0.860556653044618,17.0699487636445,17,11
500,5,1,1,1959-07-15,63,135,0.967719972133636,1.84829239207849,1959,-2.23662676657152,-2.33994026090866,-1.07470867382723,-1.15859391370068,23.9115646258503,17,NA
600,5,1,1,1960-10-15,65,200,0.993929982185364,2.50804747146204,1960,-1.59259109395168,-1.53798532852504,1.34558237236624,1.33936647012515,33.2781065088757,17,NA
700,7,1,1,1964-06-15,67,138,0.474119991064072,-0.0649171293302744,1964,-0.948555421331831,-0.751185071542883,-0.963002933233688,-0.616898576564033,21.6114947649811,15,NA
800,8,1,2,1958-07-15,65,169,0.44021999835968,-0.150411464608739,1958,0.299333671947717,0.210989563976025,1.56213200778782,1.44275618345484,28.12,17,12
900,9,1,1,1963-07-15,65,155,0.596830010414124,0.245150400698967,1963,-1.59259109395168,-1.47147204972179,-0.330003736536932,-0.131276089129507,25.7905325443787,16,NA
1000,10,1,2,1960-10-15,66,115,0.300390005111694,-0.523279147115228,1960,0.662357925716266,0.63798251794824,-0.672507381740609,-0.724831422601554,18.5594582185491,21,16
1100,11,1,1,1959-07-15,71,155,0.853470027446747,1.05143261023659,1959,0.339515923907859,0.323059415923374,-0.330003736536932,-0.424455869320954,21.6157508430867,18,NA
1200,12,1,2,1959-09-15,66,116,0.89640998840332,1.26135763901512,1959,0.662357925716266,0.657057208506033,-0.631125170823416,-0.677519623801898,18.7208448117539,20,13
1300,13,1,1,1958-08-15,71,175,0.723129987716675,0.592165118799326,1958,0.339515923907859,0.245722268217317,0.414701200753368,0.193222313920375,24.4048799841301,17,NA
1400,13,1,2,1963-10-15,67,140,0.987980008125305,2.25648963436054,1963,1.02538217948481,0.986281641934387,0.36204789118922,0.532478978909285,21.9247048340388,17,13
1500,15,1,1,1964-02-15,74,205,0.82260000705719,0.925319024073757,1964,1.30556943283763,1.37557775839859,1.53175860668882,2.06662602510386,26.3175675675676,NA,NA
1600,16,1,2,1958-10-15,63,135,0.502830028533936,0.00709388903866533,1958,-0.42671483558938,-0.526054697626327,0.155136836603254,0.0886140919547362,23.9115646258503,17,14
1700,17,1,1,1957-01-15,70,160,0.896690011024475,1.26291430631665,1957,0.0174980875979365,-0.124501453242848,-0.143827502214357,-0.374913664231446,22.9551020408163,15,NA
1800,17,1,1,1958-03-15,68,145,0.959770023822784,1.7480235341002,1958,-0.626537585021909,-0.775965057528375,-0.702356205182083,-0.859868215781507,22.0447664359862,16,NA
1900,19,1,2,1957-12-15,64,125,NA,NA,1957,-0.0636905818208312,-0.0844052626034728,-0.258685272568678,-0.386819435458707,21.453857421875,14,14
2000,20,1,2,1959-11-15,61,120,0.670210003852844,0.44049312259385,1959,-1.15276334312648,-1.07540978689485,-0.465596327154643,-0.510515888401298,22.6713249126579,20,15
2100,20,1,2,1961-06-15,62,130,0.884159982204437,1.19604234316597,1961,-0.789739089357928,-0.784914574056063,-0.0517742179827118,-0.0733898488738545,23.7747138397503,22,13
2200,22,1,2,1963-01-15,64,112,0.891669988632202,1.23545820333031,1963,-0.0636905818208312,-0.0570104995337775,-0.796654014492188,-0.738515742993367,19.22265625,16,11
2300,23,1,1,1958-09-15,73,175,0.832140028476715,0.962656480960614,1958,0.983551596527705,0.926847152047778,0.414701200753368,0.193222313920375,23.0859448301745,16,NA
2400,23,1,1,1961-01-15,71,175,0.660290002822876,0.413254728844388,1961,0.339515923907859,0.326562023138883,0.414701200753368,0.429308672951439,24.4048799841301,NA,NA
2500,25,1,2,1959-11-15,66,130,0.513899981975555,0.0348491403815031,1959,0.662357925716266,0.657057208506033,-0.0517742179827118,-0.0930065498997984,20.9802571166208,16,12
2600,26,1,1,1962-09-15,67,136,0.970749974250793,1.89193192516253,1962,-0.948555421331831,-0.873300182297924,-1.03747342696272,-0.956102624473215,21.2982846959234,17,NA
2700,27,1,2,1960-05-15,63,115,0.966740012168884,1.83490359001166,1960,-0.42671483558938,-0.459535747245372,-0.672507381740609,-0.724831422601554,20.3691106072058,16,13
2800,27,1,2,1964-01-15,65,108,0.927839994430542,1.45989107997097,1964,0.299333671947717,0.328515614794993,-0.962182858160961,-0.855047680289926,17.9701775147929,17,12
2900,29,1,2,1960-10-15,66,142,0.259050011634827,-0.646276933786224,1960,0.662357925716266,0.63798251794824,0.444812313023606,0.318246529249391,22.9168962350781,NA,13
3000,29,1,2,1958-11-15,64,150,0.0852800011634827,-1.37040663415695,1958,-0.0636905818208312,-0.157532566825151,0.775870000361151,0.686029720557722,25.74462890625,19,13
3100,31,1,1,1963-10-15,69,160,NA,NA,1963,-0.304519748711986,-0.233522332938638,-0.143827502214357,0.0735933649234322,23.6252888048729,17,NA
