"SubjectTag","SubjectID","Generation","HeightZGenderAge","WeightZGenderAge","MathStandardized"
201,201,2,NA,NA,97.5
202,202,2,NA,NA,103
301,301,2,0.489423327229364,0.489423327229364,104
302,302,2,1.98312205420134,1.98312205420134,86
303,303,2,0.888698998947474,0.888698998947474,77
401,401,2,-0.30481034385023,-0.30481034385023,101
403,403,2,NA,NA,NA
801,801,2,1.2535066840321,1.2535066840321,102
802,802,2,1.17108464204893,1.17108464204893,107
803,803,2,1.4615362418355,1.4615362418355,104.5
1001,1001,2,0.466215815811856,0.466215815811856,99
1002,1002,2,NA,NA,106
1201,1201,2,NA,NA,106
1202,1202,2,NA,NA,NA
1601,1601,2,0.570766085282081,0.570766085282081,105
1602,1602,2,0.752207479899074,0.752207479899074,98
1603,1603,2,NA,NA,94
1901,1901,2,0.515390182481005,0.515390182481005,96
2001,2001,2,-0.911722153348207,-0.911722153348207,112
2501,2501,2,-0.376462737100947,-0.376462737100947,109
2502,2502,2,0.55053829244556,0.55053829244556,105
2701,2701,2,0.489423327229364,0.489423327229364,118
2702,2702,2,-0.435980549879237,-0.435980549879237,121
3001,3001,2,0.886509026076423,0.886509026076423,NA
3002,3002,2,NA,NA,NA
3003,3003,2,-1.11104720775676,-1.11104720775676,NA
3501,3501,2,NA,NA,99
3502,3502,2,NA,NA,106
3701,3701,2,NA,NA,115
4301,4301,2,-0.508360431942781,-0.508360431942781,97
4302,4302,2,-0.871595588657143,-0.871595588657143,89
4303,4303,2,NA,NA,99
4304,4304,2,NA,NA,83.5
4401,4401,2,-0.577747632417546,-0.577747632417546,102
4402,4402,2,-0.205724056306393,-0.205724056306393,103
4601,4601,2,NA,NA,102.5
4602,4602,2,NA,NA,117
4901,4901,2,0.573494841913946,0.573494841913946,115
4902,4902,2,-0.473844341084092,-0.473844341084092,94.5
5001,5001,2,-0.182215286576611,-0.182215286576611,105
5002,5002,2,0.512674095026959,0.512674095026959,108
5003,5003,2,NA,NA,NA
5004,5004,2,NA,NA,NA
5005,5005,2,0.816029590072314,0.816029590072314,107
5701,5701,2,0.170937007966158,0.170937007966158,133
5702,5702,2,NA,NA,NA
5703,5703,2,NA,NA,NA
5801,5801,2,-1.30014711156026,-1.30014711156026,110.5
5802,5802,2,0.523891313862852,0.523891313862852,112
5803,5803,2,-0.103732944259383,-0.103732944259383,104
6101,6101,2,0.190460375323854,0.190460375323854,111
6102,6102,2,NA,NA,118
6103,6103,2,NA,NA,NA
6201,6201,2,NA,NA,108.5
6202,6202,2,NA,NA,118
6203,6203,2,NA,NA,117
6801,6801,2,0.910616209567265,0.910616209567265,120
6802,6802,2,NA,NA,125
6803,6803,2,NA,NA,123.5
7501,7501,2,NA,NA,NA
7502,7502,2,NA,NA,NA
7801,7801,2,-1.63507764194749,-1.63507764194749,123
7802,7802,2,NA,NA,100
7803,7803,2,NA,NA,112
7804,7804,2,NA,NA,118
8601,8601,2,-0.205724056306393,-0.205724056306393,101
8901,8901,2,-0.935339426475638,-0.935339426475638,96.5
9101,9101,2,-0.182215286576611,-0.182215286576611,120
9102,9102,2,NA,NA,94
9201,9201,2,-0.30481034385023,-0.30481034385023,99.5
9202,9202,2,NA,NA,111
9501,9501,2,0.170937007966158,0.170937007966158,108
9502,9502,2,-0.802683819787775,-0.802683819787775,95
9503,9503,2,-0.103732944259383,-0.103732944259383,102
9601,9601,2,0.804904017242739,0.804904017242739,111.5
9602,9602,2,0.476587904946359,0.476587904946359,101.5
9603,9603,2,NA,NA,105
9701,9701,2,0.512674095026959,0.512674095026959,115
9702,9702,2,0.169303840381376,0.169303840381376,106
9801,9801,2,0.512674095026959,0.512674095026959,120
9802,9802,2,-0.69220567789529,-0.69220567789529,131
9803,9803,2,NA,NA,131
9901,9901,2,0.183834616323276,0.183834616323276,108.5
9902,9902,2,0.0188840227604028,0.0188840227604028,111
10001,10001,2,0.220360867777522,0.220360867777522,105
10002,10002,2,-0.098447220940474,-0.098447220940474,95
10003,10003,2,-0.209997252022065,-0.209997252022065,92
10201,10201,2,NA,NA,NA
11101,11101,2,-0.570531741391015,-0.570531741391015,98
11102,11102,2,-1.30014711156026,-1.30014711156026,103
11103,11103,2,-0.0730151831008213,-0.0730151831008213,96
11201,11201,2,0.573494841913946,0.573494841913946,120
11202,11202,2,NA,NA,118
11801,11801,2,NA,NA,NA
11802,11802,2,NA,NA,NA
12101,12101,2,1.31366148920293,1.31366148920293,119
12401,12401,2,0.829678056200991,0.829678056200991,115
12402,12402,2,0.886509026076423,0.886509026076423,103.5
12801,12801,2,-1.36603523313036,-1.36603523313036,113.5
12802,12802,2,-1.30014711156026,-1.30014711156026,95.5
13301,13301,2,NA,NA,117.5
13701,13701,2,0.86854849185133,0.86854849185133,118
13702,13702,2,0.130806369591495,0.130806369591495,116
13801,13801,2,-1.14540750662708,-1.14540750662708,125
13802,13802,2,-0.098447220940474,-0.098447220940474,118
13803,13803,2,-0.529695458919556,-0.529695458919556,127.5
14001,14001,2,0.666272755981668,0.666272755981668,116.5
14301,14301,2,NA,NA,120
14302,14302,2,1.17035305243433,1.17035305243433,97.5
14303,14303,2,0.466215815811856,0.466215815811856,116
14304,14304,2,-0.628504710460863,-0.628504710460863,99
14401,14401,2,1.25168609481458,1.25168609481458,113
14402,14402,2,-0.889773376041261,-0.889773376041261,100
14403,14403,2,NA,NA,111
14701,14701,2,-1.66675966294572,-1.66675966294572,NA
14702,14702,2,-0.69220567789529,-0.69220567789529,128.5
14901,14901,2,-0.911722153348207,-0.911722153348207,107
