"SubjectTag","SubjectID","Generation","HeightZGenderAge","WeightZGenderAge","AfqtRescaled2006Gaussified","Afi","Afm"
100,1,1,0.272615036319898,NA,NA,NA,NA
200,2,1,-0.839068698652887,-0.353258559044257,-1.30559013509827,NA,9
300,3,1,2.13411093300723,0.718581794532153,NA,16,10
400,4,1,1.02426966321014,-0.252302247079271,0.50983316211342,17,11
500,5,1,-2.34873338013195,-1.19206057655838,1.97396749992015,17,NA
600,6,1,-1.74222768170812,1.08177674250313,2.70290461366221,17,NA
700,7,1,-0.297516921441484,-0.327609704737957,0.297407499256431,15,NA
800,8,1,0.275873663219656,1.39344423937656,0.0747620443296965,17,12
900,9,1,-1.61309044322913,-0.240247606772434,0.513937991571513,16,NA
1000,10,1,0.623418850004854,-0.0490973787662068,-0.212845322931817,21,16
1100,11,1,0.322621925570974,-0.454153633656439,1.19520718432367,18,NA
1200,12,1,0.648442349765021,-0.661971428044156,1.52967547704554,20,13
1300,13,1,0.274432320973596,0.203138098792631,0.723645185959037,17,NA
1400,14,1,1.03389068083996,0.486118966709814,2.66626361296828,17,13
1500,15,1,1.35019956672158,0.763279885292367,1.27408748972718,NA,NA
1600,16,1,-0.467421244695372,0.0437193496877469,0.237334719016756,17,14
1700,17,1,-0.384317940835132,-0.381262112113731,1.20291943965099,15,NA
1800,18,1,-0.731770551803795,-0.853414393181797,1.86933762481844,16,NA
1900,19,1,-0.124503980858937,-0.418052692166054,NA,14,14
2000,20,1,-1.23069421746059,-0.498103755658202,0.691294327506789,20,15
2100,21,1,-0.839068698652887,0.162812722307348,1.4876116887471,22,13
2200,22,1,-0.103212277125225,-0.702938346140644,1.66780661492381,16,11
2300,23,1,0.945234236158523,0.203138098792631,1.09087796220478,16,NA
2400,24,1,0.634114364819605,0.716017028848914,0.7069329235503,NA,NA
2500,25,1,0.648442349765021,-0.0884345746933173,0.276994301871755,16,12
2600,26,1,-1.01305572728049,-0.896897799397606,2.02200714761278,17,NA
2700,27,1,-0.498465396290832,-0.787008005565902,2.22327923103007,16,13
2800,28,1,0.280500442729841,-0.518649370664118,1.83318611591036,17,12
2900,29,1,0.623418850004854,-0.418052692166054,-0.339908418691434,NA,13
3000,30,1,-0.0957737907378582,0.639186212785752,-1.18448388236051,19,13
3100,31,1,-0.296072661028812,0.570293829126059,NA,17,NA
3200,32,1,-1.24638822715462,-1.41423203834564,NA,21,11
3300,33,1,NA,NA,NA,NA,NA
3400,34,1,-0.396369594211331,0.907506426775583,-1.39869571346128,15,NA
3500,35,1,-0.849584914435335,-0.317695703189332,0.386367145234622,16,11
3600,36,1,-0.0112974876418913,-0.638630369381925,NA,8,NA
3700,37,1,1.01916857113468,-0.670840886029859,0.393432371899638,21,14
3800,38,1,-0.479039590570348,-0.580037591851179,-0.850775985640508,17,11
3900,39,1,0.274432320973596,0.0270460167968931,-0.475208187575865,14,NA
4000,40,1,-1.34697514049335,0.0992765735200198,-0.120148358026747,17,NA
4100,41,1,0.945234236158523,1.25969059076706,0.44202361385293,15,NA
4200,42,1,0.691690675621424,2.50015439078914,-0.438574554288004,14,NA
4300,43,1,-0.0957737907378582,0.242208304053749,-0.744489912587207,17,15
4400,44,1,-0.0957737907378582,-1.06781879476186,-0.0479323262133502,19,11
4500,45,1,-0.0112974876418913,1.02166025214745,0.183066249638628,16,NA
4600,46,1,-0.854866904015471,-0.416169919465225,1.17930928635948,NA,15
4700,47,1,0.945234236158523,0.907506426775583,0.820074620651819,14,NA
4800,48,1,0.60983327856606,-0.853414393181797,NA,19,NA
4900,49,1,1.76246347904971,0.0437193496877469,0.761395459426474,18,12
5000,50,1,-0.0957737907378582,2.02860889334776,1.05317178593705,12,11
5100,51,1,NA,NA,NA,NA,NA
5200,52,1,0.60983327856606,0.449667013586664,0.630426395986358,16,NA
5300,53,1,-0.625327106578891,2.11418227845652,0.130400250690028,NA,NA
5400,54,1,0.945234236158523,-0.149046065198845,NA,20,NA
5500,55,1,NA,NA,NA,NA,NA
5600,56,1,0.324000376161959,1.16270020187014,0.914125544902555,NA,NA
5700,57,1,1.01916857113468,-0.234165186424656,-0.286770286929859,16,14
5800,58,1,-0.872426811722727,-0.233575035466131,1.60583959982955,20,12
5900,59,1,-0.345216900854757,1.39061372359842,2.3865405331709,16,NA
6000,60,1,-0.396369594211331,1.04838009237217,1.20949976380339,15,NA
6100,61,1,0.648442349765021,0.23930077007859,2.89023698035103,22,13
6200,62,1,2.12476948867378,1.96766010322996,-0.170027336154736,15,14
