5002,5005,50,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5002,5005,108,0.512674095026959,107,0.816029590072314
5003,5004,50,2,1,0.5,0.5,1,,,0.5,0.5,0.5,0.5,,0.5,,,2,2,5003,5004,,,,
5003,5005,50,2,1,0.5,0.5,1,,2010,,,0.375,0.5,0.5,0.5,,0.5,2,2,5003,5005,,,107,0.816029590072314
5004,5005,50,2,1,0.5,0.5,1,,2010,,,0.375,0.5,0.5,0.5,,0.5,2,2,5004,5005,,,107,0.816029590072314
5701,5702,57,2,1,0.25,0.25,1,2008,2010,,,0.375,0.25,0.25,0.25,0.25,0.25,2,2,5701,5702,133,0.170937007966158,,
5701,5703,57,2,1,0.25,0.25,1,2008,2004,,,0.375,0.25,0.25,0.25,0.25,,2,2,5701,5703,133,0.170937007966158,,
5702,5703,57,2,1,0.5,0.5,1,2010,2004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,5702,5703,,,,
5801,5802,58,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5801,5802,110.5,-1.30014711156026,112,0.523891313862852
5801,5803,58,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5801,5803,110.5,-1.30014711156026,104,-0.103732944259383
5802,5803,58,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5802,5803,112,0.523891313862852,104,-0.103732944259383
6101,6102,61,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,6101,6102,111,0.190460375323854,118,
6101,6103,61,2,1,0.5,0.5,1,2010,2008,0.5,0.5,,0.5,0.5,0.5,0.5,,2,2,6101,6103,111,0.190460375323854,,
6102,6103,61,2,1,0.5,0.5,1,2010,2008,0.5,0.5,,0.5,0.5,0.5,0.5,,2,2,6102,6103,118,,,
6201,6202,61,2,1,0.5,0.5,1,2008,2008,0.5,0.5,0.5,,,0.5,,,2,2,6201,6202,108.5,,118,
6201,6203,61,2,1,0.5,0.5,1,2008,2008,0.5,0.5,0.5,,,0.5,,,2,2,6201,6203,108.5,,117,
6202,6203,61,2,1,0.5,0.5,1,2008,2008,0.5,0.5,0.5,,,0.5,,,2,2,6202,6203,118,,117,
6801,6802,67,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,6801,6802,120,0.910616209567265,125,
6801,6803,67,2,1,0.5,0.5,1,2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,6801,6803,120,0.910616209567265,123.5,
6802,6803,67,2,1,0.5,0.5,1,2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,6802,6803,125,,123.5,
7501,7502,74,2,1,0.5,0.5,1,2004,2004,0.5,0.5,0.5,,,0.5,,,2,2,7501,7502,,,,
7801,7802,78,2,1,0.5,0.5,1,2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,7801,7802,123,-1.63507764194749,100,
7801,7803,78,2,1,0.5,0.5,1,2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,7801,7803,123,-1.63507764194749,112,
7801,7804,78,2,1,0.5,0.5,1,2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,7801,7804,123,-1.63507764194749,118,
7802,7803,78,2,1,0.5,0.5,1,2006,2006,0.5,0.5,0.5,0.5,,0.5,,,2,2,7802,7803,100,,112,
7802,7804,78,2,1,0.5,0.5,1,2006,2006,0.5,0.5,0.5,0.5,,0.5,,,2,2,7802,7804,100,,118,
7803,7804,78,2,1,0.5,0.5,1,2006,2006,0.5,0.5,0.5,0.5,,0.5,,,2,2,7803,7804,112,,118,
9101,9102,90,2,1,0.5,0.5,1,2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,9101,9102,120,-0.182215286576611,94,
9201,9202,92,2,1,0.5,0.5,1,2010,2002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,2,2,9201,9202,99.5,-0.30481034385023,111,
9501,9502,94,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9501,9502,108,0.170937007966158,95,-0.802683819787775
9501,9503,94,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9501,9503,108,0.170937007966158,102,-0.103732944259383
9502,9503,94,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9502,9503,95,-0.802683819787775,102,-0.103732944259383
9601,9602,96,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9601,9602,111.5,0.804904017242739,101.5,0.476587904946359
9601,9603,96,2,1,0.25,0.25,1,2010,2008,,0.25,0.25,0.25,0.25,0.25,0.25,,2,2,9601,9603,111.5,0.804904017242739,105,
9602,9603,96,2,1,0.25,0.25,1,2010,2008,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,2,2,9602,9603,101.5,0.476587904946359,105,
9701,9702,97,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9701,9702,115,0.512674095026959,106,0.169303840381376
9801,9802,98,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9801,9802,120,0.512674095026959,131,-0.69220567789529
9801,9803,98,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9801,9803,120,0.512674095026959,131,
9802,9803,98,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9802,9803,131,-0.69220567789529,131,
9901,9902,99,2,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9901,9902,108.5,0.183834616323276,111,0.0188840227604028
