"SubjectTag_S1","SubjectTag_S2","ExtendedID","RelationshipPath","EverSharedHouse","R","RFull","IsMz","LastSurvey_S1","LastSurvey_S2","RImplicitPass1","RImplicit","RImplicit2004","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","Generation_S1","Generation_S2","SubjectID_S1","SubjectID_S2","MathStandardized_S1","HeightZGenderAge_S1","MathStandardized_S2","HeightZGenderAge_S2"
4601,4602,46,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2006,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,4601,4602,102.5,NA,117,NA
4901,4902,49,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4901,4902,115,0.573494841913946,94.5,-0.473844341084092
5001,5002,50,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2010,0.25,0.25,0.375,0.25,0.25,0.25,0.25,0.25,2,2,5001,5002,105,-0.182215286576611,108,0.512674095026959
5001,5003,50,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,NA,NA,NA,0.375,0.25,0.25,0.25,0.25,NA,2,2,5001,5003,105,-0.182215286576611,NA,NA
5001,5004,50,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,NA,NA,NA,0.375,0.25,0.25,0.25,0.25,NA,2,2,5001,5004,105,-0.182215286576611,NA,NA
5001,5005,50,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2010,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,2,2,5001,5005,105,-0.182215286576611,107,0.816029590072314
5002,5003,50,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,NA,NA,NA,0.375,0.5,0.5,0.5,0.5,NA,2,2,5002,5003,108,0.512674095026959,NA,NA
5002,5004,50,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,NA,NA,NA,0.375,0.5,0.5,0.5,0.5,NA,2,2,5002,5004,108,0.512674095026959,NA,NA
5002,5005,50,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5002,5005,108,0.512674095026959,107,0.816029590072314
5003,5004,50,"Gen2Siblings",TRUE,0.5,0.5,"No",NA,NA,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,5003,5004,NA,NA,NA,NA
5003,5005,50,"Gen2Siblings",TRUE,0.5,0.5,"No",NA,2010,NA,NA,0.375,0.5,0.5,0.5,NA,0.5,2,2,5003,5005,NA,NA,107,0.816029590072314
5004,5005,50,"Gen2Siblings",TRUE,0.5,0.5,"No",NA,2010,NA,NA,0.375,0.5,0.5,0.5,NA,0.5,2,2,5004,5005,NA,NA,107,0.816029590072314
5701,5702,57,"Gen2Siblings",TRUE,0.25,0.25,"No",2008,2010,NA,NA,0.375,0.25,0.25,0.25,0.25,0.25,2,2,5701,5702,133,0.170937007966158,NA,NA
5701,5703,57,"Gen2Siblings",TRUE,0.25,0.25,"No",2008,2004,NA,NA,0.375,0.25,0.25,0.25,0.25,NA,2,2,5701,5703,133,0.170937007966158,NA,NA
5702,5703,57,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,5702,5703,NA,NA,NA,NA
5801,5802,58,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5801,5802,110.5,-1.30014711156026,112,0.523891313862852
5801,5803,58,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5801,5803,110.5,-1.30014711156026,104,-0.103732944259383
5802,5803,58,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5802,5803,112,0.523891313862852,104,-0.103732944259383
6101,6102,61,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,6101,6102,111,0.190460375323854,118,NA
6101,6103,61,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,NA,0.5,0.5,0.5,0.5,NA,2,2,6101,6103,111,0.190460375323854,NA,NA
6102,6103,61,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,NA,0.5,0.5,0.5,0.5,NA,2,2,6102,6103,118,NA,NA,NA
6201,6202,61,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2008,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,6201,6202,108.5,NA,118,NA
6201,6203,61,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2008,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,6201,6203,108.5,NA,117,NA
6202,6203,61,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2008,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,6202,6203,118,NA,117,NA
6801,6802,67,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,6801,6802,120,0.910616209567265,125,NA
6801,6803,67,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,6801,6803,120,0.910616209567265,123.5,NA
6802,6803,67,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,6802,6803,125,NA,123.5,NA
7501,7502,74,"Gen2Siblings",TRUE,0.5,0.5,"No",2004,2004,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,7501,7502,NA,NA,NA,NA
7801,7802,78,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,7801,7802,123,-1.63507764194749,100,NA
7801,7803,78,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,7801,7803,123,-1.63507764194749,112,NA
7801,7804,78,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,7801,7804,123,-1.63507764194749,118,NA
7802,7803,78,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2006,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,7802,7803,100,NA,112,NA
7802,7804,78,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2006,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,7802,7804,100,NA,118,NA
7803,7804,78,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2006,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,7803,7804,112,NA,118,NA
9101,9102,90,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,9101,9102,120,-0.182215286576611,94,NA
9201,9202,92,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,9201,9202,99.5,-0.30481034385023,111,NA
9501,9502,94,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9501,9502,108,0.170937007966158,95,-0.802683819787775
9501,9503,94,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9501,9503,108,0.170937007966158,102,-0.103732944259383
9502,9503,94,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9502,9503,95,-0.802683819787775,102,-0.103732944259383
9601,9602,96,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9601,9602,111.5,0.804904017242739,101.5,0.476587904946359
9601,9603,96,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2008,NA,0.25,0.25,0.25,0.25,0.25,0.25,NA,2,2,9601,9603,111.5,0.804904017242739,105,NA
9602,9603,96,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2008,0.25,0.25,0.25,0.25,0.25,0.25,0.25,NA,2,2,9602,9603,101.5,0.476587904946359,105,NA
9701,9702,97,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9701,9702,115,0.512674095026959,106,0.169303840381376
9801,9802,98,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9801,9802,120,0.512674095026959,131,-0.69220567789529
9801,9803,98,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9801,9803,120,0.512674095026959,131,NA
9802,9803,98,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9802,9803,131,-0.69220567789529,131,NA
9901,9902,99,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,9901,9902,108.5,0.183834616323276,111,0.0188840227604028
10001,10002,100,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,10001,10002,105,0.220360867777522,95,-0.098447220940474
10001,10003,100,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,10001,10003,105,0.220360867777522,92,-0.209997252022065
10002,10003,100,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,10002,10003,95,-0.098447220940474,92,-0.209997252022065
11101,11102,110,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,11101,11102,98,-0.570531741391015,103,-1.30014711156026
11101,11103,110,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,11101,11103,98,-0.570531741391015,96,-0.0730151831008213
11102,11103,110,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,11102,11103,103,-1.30014711156026,96,-0.0730151831008213
11201,11202,110,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2008,NA,0.25,0.25,0.25,0.25,0.25,0.25,NA,2,2,11201,11202,120,0.573494841913946,118,NA
11801,11802,118,"Gen2Siblings",TRUE,0.375,0.375,"No",1986,1998,NA,NA,0.375,NA,NA,NA,NA,NA,2,2,11801,11802,NA,NA,NA,NA
