300,400,3,1,1,0.5,0.5,1,2008,1998,,0.5,,0.5,0.5,0.5,0.5,,1,1,3,4,,2.13411093300723,,1.02426966321014
500,600,5,1,1,0.5,0.5,1,1989,2010,,0.5,0.5,0.5,0.5,0.5,,0.5,1,1,5,6,,-2.34873338013195,,-1.74222768170812
1300,1400,13,1,1,0.5,0.5,1,2006,2010,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,13,14,,0.274432320973596,,1.03389068083996
1700,1800,17,1,1,0.5,0.5,1,2010,2010,,,0.375,0.5,0.5,0.5,0.5,0.5,1,1,17,18,,-0.384317940835132,,-0.731770551803795
2000,2100,20,1,1,0.5,0.5,1,2008,2010,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,20,21,,-1.23069421746059,,-0.839068698652887
2300,2400,23,1,1,0.5,0.5,1,1992,1998,,0.5,,,,,,,1,1,23,24,,0.945234236158523,,0.634114364819605
2700,2800,27,1,1,0.5,0.5,1,2010,2010,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,27,28,,-0.498465396290832,,0.280500442729841
2900,3000,29,1,1,0.5,0.5,1,2010,2010,,0.5,0.5,0.5,0.5,0.5,0.5,,1,1,29,30,,0.623418850004854,,-0.0957737907378582
3200,3300,32,1,1,0.5,0.5,1,2010,2010,,0.5,,0.5,0.5,0.5,0.5,0.5,1,1,32,33,,-1.24638822715462,,
3400,3500,34,1,1,0.5,0.5,1,2010,1998,,,0.375,0.5,0.5,0.5,0.5,,1,1,34,35,,-0.396369594211331,,-0.849584914435335
3700,3800,37,1,1,0.5,0.5,1,2010,2010,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,37,38,,1.01916857113468,,-0.479039590570348
4000,4100,40,1,1,0.5,0.5,1,2010,2010,,,0.375,0.5,0.5,0.5,0.5,0.5,1,1,40,41,,-1.34697514049335,,0.945234236158523
5000,5100,50,1,1,,,1,2010,1979,,,,,,,,,1,1,50,51,,-0.0957737907378582,,
5500,5600,55,1,1,,,1,1979,1982,,,,,,,,,1,1,55,56,,,,0.324000376161959
5800,5900,58,1,1,0.5,0.5,1,2010,2010,,0.5,0.5,0.5,,,0.25,0.5,1,1,58,59,,-0.872426811722727,,-0.345216900854757
5800,6000,58,1,1,0.5,0.5,1,2010,2000,,0.25,0.5,0.5,0.5,0.5,0.5,,1,1,58,60,,-0.872426811722727,,-0.396369594211331
5900,6000,58,1,1,0.5,0.5,1,2010,2000,,0.5,,0.5,0.5,0.5,0.5,,1,1,59,60,,-0.345216900854757,,-0.396369594211331
6100,6200,61,1,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,61,62,,0.648442349765021,,2.12476948867378
6300,6400,63,1,1,0.5,0.5,1,2010,1986,,,,0.5,0.5,0.5,0.5,,1,1,63,64,,0.0331817845212667,,0.60983327856606
6300,6500,63,1,1,0.5,0.5,1,2010,1986,,,,0.5,0.5,0.5,0.5,,1,1,63,65,,0.0331817845212667,,0.657195561784899
6400,6500,63,1,1,0.5,0.5,1,1986,1986,,,,0.5,,,,,1,1,64,65,,0.60983327856606,,0.657195561784899
6700,6800,67,1,1,0.5,0.5,1,2010,2010,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,67,68,,0.973591800037851,,2.15175160354551
7000,7100,70,1,1,0.5,0.5,1,2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,1,1,70,71,,-0.396369594211331,,0.0331817845212667
7400,7500,74,1,1,0.5,0.5,1,1994,2010,,0.5,0.5,0.5,0.5,0.5,,0.5,1,1,74,75,,0.648442349765021,,0.272615036319898
7400,7600,74,1,1,0.5,0.5,1,1994,2010,,0.5,0.5,0.5,0.5,0.5,,0.5,1,1,74,76,,0.648442349765021,,1.0209451211715
7500,7600,74,1,1,0.5,0.5,1,2010,2010,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,1,1,75,76,,0.272615036319898,,1.0209451211715
7800,7900,78,1,1,0.5,0.5,1,2006,2004,,0.5,0.5,0.5,0.5,0.5,0.5,,1,1,78,79,,-0.124503980858937,,0.634114364819605
8000,8100,80,1,1,0.5,0.5,1,2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,80,81,,-0.625327106578891,,0.346026827107957
8300,8400,83,1,1,0.5,0.5,1,2010,2010,,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,1,83,84,,0.973591800037851,,-0.625327106578891
8500,8600,85,1,1,0.5,0.5,1,2010,2010,,0.5,,0.5,0.5,0.5,0.5,0.5,1,1,85,86,,-1.34697514049335,,-1.99431105801841
8500,8700,85,1,1,0.5,0.5,1,2010,2010,,0.5,,0.5,0.5,0.5,0.5,0.5,1,1,85,87,,-1.34697514049335,,-0.625327106578891
8600,8700,85,1,1,0.5,0.5,1,2010,2010,,0.5,,0.5,0.5,0.5,0.5,0.5,1,1,86,87,,-1.99431105801841,,-0.625327106578891
9000,9100,90,1,1,0.5,0.5,1,2010,2010,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,90,91,,0.274432320973596,,1.03389068083996
9400,9500,94,1,1,0.5,0.5,1,2010,2010,,0.5,,0.375,,,,0.5,1,1,94,95,,-0.723795376053378,,0.249457434572959
9600,1175100,96,1,1,,0,1,2010,2010,,,,,,0,,,1,1,96,11751,,-0.0957737907378582,,0.6098333
