CID,MID,CRace,CGender,height,ageht,yearht,weight,agewt,yearwt,age_ht,age_wt,htst,wtst
599101,5991,2,1,,,,,,,,,,
603603,6036,2,1,,,,,,,,,,
605801,6058,2,1,,,,,,,,,,
620301,6203,2,1,,,,,,,,,,
620302,6203,2,1,,,,,,,,,,
620401,6204,2,1,,,,,,,,,,
621401,6214,2,1,,,,,,,,,,
621402,6214,2,1,,,,,,,,,,
622701,6227,2,1,,,,,,,,,,
627302,6273,2,1,,,,,,,,,,
628301,6283,2,1,,,,,,,,,,
628403,6284,2,1,,,,,,,,,,
629302,6293,2,1,,,,,,,,,,
633101,6331,3,1,,,,,,,,,,
637102,6371,2,1,,,,,,,,,,
637203,6372,2,1,,,,,,,,,,
644401,6444,2,1,,,,,,,,,,
647204,6472,2,1,60,,2008,,,,,,,
652002,6520,3,1,,,,,,,,,,
652103,6521,3,1,,,,,,,,,,
652303,6523,3,1,,,,,,,,,,
652402,6524,3,1,,,,,,,,,,
653901,6539,3,1,,,,,,,,,,
654901,6549,3,1,,,,,,,,,,
655603,6556,3,1,,,,,,,,,,
657904,6579,3,1,,,,,,,,,,
660602,6606,2,1,,,,,,,,,,
662203,6622,3,1,,,,,,,,,,
664601,6646,2,1,56,,2008,,,,,,,
664602,6646,2,1,36,,2008,,,,,,,
666401,6664,3,1,,,,,,,,,,
667106,6671,2,1,,,,,,,,,,
669202,6692,3,1,,,,,,,,,,
670402,6704,1,1,,,,,,,,,,
675302,6753,2,1,,,,,,,,,,
676702,6767,3,1,,,,,,,,,,
692001,6920,3,1,,,,,,,,,,
695003,6950,2,1,51,,2008,,,,,,,
696203,6962,2,1,,,,,,,,,,
699504,6995,2,1,,,,,,,,,,
700001,7000,2,1,,,,,,,,,,
700201,7002,2,1,,,,,,,,,,
703901,7039,3,1,,,,,,,,,,
704801,7048,1,1,,,,,,,,,,
705302,7053,3,1,,,,,,,,,,
705303,7053,3,1,,,,,,,,,,
708801,7088,2,1,,,,,,,,,,
708802,7088,2,1,,,,,,,,,,
708803,7088,2,1,,,,,,,,,,
717402,7174,2,1,,,,,,,,,,
720201,7202,3,1,,,,,,,,,,
722002,7220,2,1,,,,,,,,,,
723202,7232,2,1,,,,,,,,,,
726309,7263,2,1,,,,,,,,,,
728504,7285,2,1,,,,,,,,,,
737601,7376,3,1,,,,,,,,,,
738301,7383,2,1,,,,,,,,,,
741402,7414,3,1,,,,,,,,,,
742002,7420,3,1,,,,,,,,,,
742201,7422,1,1,67,,2008,,,,,,,
746002,7460,2,1,,,,,,,,,,
752903,7529,3,1,,,,,,,,,,
753001,7530,3,1,,,,,,,,,,
759101,7591,1,1,,,,,,,,,,
760502,7605,3,1,,,,,,,,,,
761903,7619,2,1,,,,,,,,,,
767303,7673,2,1,,,,,,,,,,
768103,7681,2,1,,,,,,,,,,
773501,7735,3,1,,,,,,,,,,
774001,7740,3,1,,,,,,,,,,
777701,7777,3,1,,,,,,,,,,
777905,7779,3,1,,,,,,,,,,
778201,7782,3,1,,,,,,,,,,
779802,7798,2,1,,,,,,,,,,
782804,7828,1,1,,,,,,,,,,
787802,7878,3,1,,,,,,,,,,
789503,7895,3,1,,,,,,,,,,
790403,7904,3,1,,,,,,,,,,
791405,7914,3,1,,,,,,,,,,
791406,7914,3,1,,,,,,,,,,
791407,7914,3,1,,,,,,,,,,
801704,8017,3,1,,,,,,,,,,
804201,8042,2,1,,,,,,,,,,
805703,8057,2,1,,,,,,,,,,
806603,8066,3,1,,,,,,,,,,
807902,8079,1,1,,,,,,,,,,
809901,8099,1,1,,,,,,,,,,
812901,8129,2,1,,,,,,,,,,
813301,8133,1,1,,,,,,,,,,
820801,8208,2,1,,,,,,,,,,
828406,8284,1,1,,,,,,,,,,
829605,8296,1,1,,,,,,,,,,
832503,8325,3,1,,,,,,,,,,
833202,8332,1,1,,,,,,,,,,
837303,8373,3,1,,,,,,,,,,
842205,8422,2,1,,,,,,,,,,
850303,8503,2,1,,,,,,,,,,
851102,8511,2,1,,,,,,,,,,
852802,8528,3,1,,,,,,,,,,
853301,8533,3,1,,,,,,,,,,
859004,8590,3,1,,,,,,,,,,
859005,8590,3,1,,,,,,,,,,
859302,8593,3,1,,,,,,,,,,
864903,8649,2,1,,,,,,,,,,
867303,8673,2,1,,,,,,,,,,
870104,8701,3,1,,,,,,,,,,
870702,8707,3,1,,,,,,,,,,
871602,8716,3,1,,,,,,,,,,
873402,8734,3,1,,,,,,,,,,
875602,8756,3,1,,,,,,,,,,
879901,8799,3,1,,,,,,,,,,
880202,8802,3,1,,,,,,,,,,
884802,8848,3,1,,,,,,,,,,
884803,8848,3,1,,,,,,,,,,
884901,8849,3,1,,,,,,,,,,
890201,8902,1,1,,,,,,,,,,
896101,8961,1,1,,,,,,,,,,
897404,8974,2,1,,,,,,,,,,
901103,9011,2,1,,,,,,,,,,
906701,9067,2,1,,,,,,,,,,
912901,9129,3,1,,,,,,,,,,
913302,9133,3,1,,,,,,,,,,
917103,9171,3,1,,,,,,,,,,
917202,9172,3,1,,,,,,,,,,
917903,9179,3,1,,,,,,,,,,
920201,9202,2,1,,,,,,,,,,
923902,9239,3,1,,,,,,,,,,
926401,9264,1,1,,,,,,,,,,
928103,9281,2,1,,,,,,,,,,
940601,9406,3,1,,,,,,,,,,
942902,9429,3,1,,,,,,,,,,
944001,9440,2,1,,,,,,,,,,
944002,9440,2,1,,,,,,,,,,
945901,9459,3,1,,,,,,,,,,
946401,9464,3,1,,,,,,,,,,
949603,9496,1,1,,,,,,,,,,
949805,9498,3,1,,,,,,,,,,
949901,9499,3,1,,,,,,,,,,
951202,9512,2,1,66,,2008,,,,,,,
952904,9529,1,1,,,,,,,,,,
959303,9593,3,1,,,,,,,,,,
970201,9702,3,1,,,,,,,,,,
971301,9713,3,1,,,,,,,,,,
974802,9748,3,1,,,,,,,,,,
979803,9798,3,1,,,,,,,,,,
986501,9865,1,1,,,,,,,,,,
992002,9920,2,1,,,,,,,,,,
992702,9927,1,1,,,,,,,,,,
993902,9939,1,1,62,,2008,,,,,,,
996001,9960,1,1,,,,,,,,,,
1001502,10015,3,1,,,,,,,,,,
1003401,10034,1,1,,,,,,,,,,
1004401,10044,3,1,,,,,,,,,,
1006601,10066,3,1,,,,,,,,,,
1006602,10066,3,1,,,,,,,,,,
1006603,10066,3,1,,,,,,,,,,
1006604,10066,3,1,,,,,,,,,,
