"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"9201",949803,949801,0.5,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,6,NA,NA,NA,NA,101,91
"9202",949803,949802,0.5,0,3,2,NA,9,22.77487603,NA,NA,NA,92,104,3,1,NA,6,NA,NA,NA,NA,101,91
"9203",949804,949801,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9204",949804,949803,0.5,0,3,1,NA,6,NA,NA,NA,NA,101,91,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9205",949804,949802,0.5,0,3,2,NA,9,22.77487603,NA,NA,NA,92,104,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9206",949805,949802,0.5,0,3,2,NA,9,22.77487603,NA,NA,NA,92,104,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9207",949805,949801,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9208",949805,949803,0.5,0,3,1,NA,6,NA,NA,NA,NA,101,91,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9209",949805,949804,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"9210",949902,949901,0.25,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,12,17.97205708,NA,NA,NA,82,86
"9211",949903,949901,0.25,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,83,88
"9212",949903,949902,0.5,0,3,1,NA,12,17.97205708,NA,NA,NA,82,86,3,2,NA,NA,NA,NA,NA,NA,83,88
"9213",949904,949902,0.5,0,3,1,NA,12,17.97205708,NA,NA,NA,82,86,3,1,NA,NA,NA,NA,NA,NA,75,98
"9214",949904,949901,0.25,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,75,98
"9215",949904,949903,0.5,0,3,2,NA,NA,NA,NA,NA,NA,83,88,3,1,NA,NA,NA,NA,NA,NA,75,98
"9216",949905,949902,NA,0,3,1,NA,12,17.97205708,NA,NA,NA,82,86,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9217",949905,949903,NA,0,3,2,NA,NA,NA,NA,NA,NA,83,88,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9218",949905,949901,0.25,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9219",949905,949904,NA,0,3,1,NA,NA,NA,NA,NA,NA,75,98,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"9220",949906,949905,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
